[(12.973217, 77.57496700000002)],[ChIJ0z-4Pw8WrjsRGUACf5Wl-nU]
[(12.981634, 77.57456000000002)],[ChIJRa50lBcWrjsRrd00xnHmZT8]
[(12.9821698, 77.60861980000004)],[ChIJH6-F0okWrjsRVdLCI_NRXsE]
[(12.982333, 77.60911699999997)],[ChIJnyEjyokWrjsRCa69ViWG2Qw]
[(12.9729979, 77.5749035)],[ChIJy7BePw8WrjsR928yFTDqnUY]
[(12.9701386, 77.53682409999999)],[ChIJ76fI2d09rjsRZM5p3GCTX9o]
[(12.968133, 77.57288300000005)],[ChIJZWFX2gcWrjsRIgmgnyrQ4zQ]
[(12.974685, 77.54476)],[ChIJ0e0A4OU9rjsRTz1cs1ru-Gw]
[(12.971949, 77.58061699999996)],[ChIJpbM6iwsWrjsRdswnXuM_1Do]
[(12.9828209, 77.60907769999994)],[ChIJbZzOx4kWrjsRgxDKlmJE0j4]
[(12.9762345, 77.52810190000002)],[ChIJb0gJW8U9rjsRk3LNuAOkBgU]
[(12.9743281, 77.60769640000001)],[ChIJ5SC2930WrjsRhfc4xfGe47g]
[(12.96718, 77.57380239999998)],[ChIJRydHCQgWrjsRCuifD1WUVOc]
[(12.967205, 77.53639099999998)],[ChIJz2Yzq989rjsRY8ziH0HJKrk]
[(12.966786, 77.57362799999999)],[ChIJfZ5IBggWrjsRy8BB2OLLE7w]
[(12.975374, 77.603704)],[ChIJJaEyQ3wWrjsRZ74b6FT255w]
[(12.9721022, 77.60657420000007)],[ChIJJcSiFX4WrjsRAb3cd4sx790]
[(12.982236, 77.60827900000004)],[ChIJLYi304kWrjsR1bieYnxPmmc]
[(12.9701471, 77.60666809999998)],[ChIJ4YA3yX8WrjsRt7cAyR1Asg0]
[(12.9701327, 77.57964219999997)],[ChIJG2Za2gsWrjsR4aqbaCj3CnA]
[(12.972956, 77.60910999999999)],[ChIJIR-5t4AWrjsRQqKoo8pNB7M]
[(12.9623049, 77.59198229999993)],[ChIJuWtTQtkVrjsR9Z9vr2RmZpw]
[(12.9701259, 77.61040530000002)],[ChIJK8WoSIAWrjsRPZ4nbyZbbns]
[(12.9702711, 77.6097436)],[ChIJY1SyW4AWrjsRup1HNFPqAno]
[(12.9708672, 77.5984535)],[ChIJ_1UDsHkWrjsRXpHS5oDKufg]
[(12.981179, 77.57459500000004)],[ChIJkT1EkhAWrjsRHYDSH9a8_As]
[(12.9508599, 77.59922400000005)],[ChIJRdEE1s4VrjsR1mz4eyI0w_c]
[(12.9743836, 77.60748850000004)],[ChIJWRHb9n0WrjsRDmA7dyfe_GU]
[(12.97515, 77.53072900000006)],[ChIJQYg6LNs9rjsRTljTO0TeajY]
[(12.982221, 77.60994099999994)],[ChIJvUd-rYkWrjsRGUr0d0GZNAU]
[(12.9775162, 77.57540749999998)],[ChIJkf5k2A8WrjsRAUjdvrnq2l0]
[(12.9702293, 77.60933350000005)],[ChIJ1XykXYAWrjsRCUd16Z_7bdc]
[(12.971749, 77.58051899999998)],[ChIJL-ZF8wsWrjsRQkSKq7eTh8w]
[(12.9698792, 77.57531849999998)],[ChIJyYo47ggWrjsRGkGvCOlGP5s]
[(12.9744794, 77.60775739999997)],[ChIJ56Mb9n0WrjsR5TcRdsTNYjc]
[(12.9795439, 77.53892840000003)],[ChIJn2bLd8I9rjsROjRcUHysCGw]
[(12.956704, 77.53423799999996)],[ChIJwWZMxHM-rjsRMCgmRg9qDF4]
[(12.9828654, 77.60894989999997)],[ChIJn8NrxokWrjsRihvRhU8GNYc]
[(12.964486, 77.58117900000002)],[ChIJS0q07OEVrjsRTRW3I9zvZO4]
[(12.9594578, 77.56738189999999)],[ChIJqQfsWfkVrjsRzwpIY6zz3jk]
[(12.973356, 77.58014600000001)],[ChIJPf8i7AsWrjsR8gSTp7OpH54]
[(12.981911, 77.60736700000007)],[ChIJw4nLK4gWrjsRDBIjqRdCWlY]
[(12.9717409, 77.61013200000002)],[ChIJw-s15IAWrjsRbrXd4AGvd-w]
[(12.9816726, 77.60988220000002)],[ChIJNYxx0okWrjsR7uFj7aH2HN4]
[(12.9825429, 77.6071303)],[ChIJNYxx0okWrjsRc4nE9Xgjgmc]
[(12.96872, 77.60851600000001)],[ChIJ9wB3_n0WrjsR_F2KOaY2AP8]
[(12.971606, 77.59437600000001)],[ChIJ7Y5UPHcWrjsRnfAm0MGChqE]
[(12.9737786, 77.54423880000002)],[ChIJQbx6cOY9rjsRe2ZBu6tkt8U]
[(12.9817728, 77.60815060000004)],[ChIJIQz30YkWrjsRpm75LGt_FqI]
[(12.981266, 77.60957800000006)],[ChIJRR_7TogWrjsRqviLMapS5ms]
[(12.9696131, 77.61049409999998)],[ChIJU2gDSYAWrjsRVd493i1HF5I]
[(12.960377, 77.57680200000004)],[ChIJbZIlNOIVrjsRuTATA3-zdAg]
[(12.973811, 77.54415900000004)],[ChIJg2hsbuY9rjsRs0hv2lDUg28]
[(12.9672505, 77.59939020000002)],[ChIJezZqpYAWrjsRulsqXu4qdrA]
[(12.9733019, 77.61124670000004)],[ChIJXf3YLYEWrjsRktUUOxUXXKE]
[(12.982686, 77.60672899999997)],[ChIJYdymemIWrjsRAdsdM6aw1z8]
[(12.9825429, 77.6071303)],[ChIJNYxx0okWrjsRx7J-TSp8MJw]
[(12.9693975, 77.57288740000001)],[ChIJWdmDUggWrjsR0lpWS0vnSrg]
[(12.973893, 77.60741499999995)],[ChIJ9wB3_n0WrjsRcD7c8y4-phg]
[(12.9826521, 77.60941639999999)],[ChIJc7N0t4kWrjsRbqHWg0RnojA]
[(12.960242, 77.53030799999999)],[ChIJf0vOHXc-rjsRP9h-4d-4_cI]
[(12.976233, 77.57571699999994)],[ChIJLb4zyA8WrjsR6Prp5KMJGR4]
[(12.967185, 77.57388600000002)],[ChIJr8yTDggWrjsRYAwIwl0cDO0]
[(12.9743109, 77.57293770000001)],[ChIJIz526g8WrjsRX0xVxCrtnvo]
[(12.96757, 77.53070000000002)],[ChIJf2wUBtk9rjsRNmcSJt9qH-g]
[(12.982517, 77.55399999999997)],[ChIJbZlO1_M9rjsRu6D_6wpK9rk]
[(12.9679709, 77.5723729)],[ChIJE8R9PncWrjsRUarNeBCuluE]
[(12.9702726, 77.61046620000002)],[ChIJySGqU4AWrjsR9RPNH0I-8Wo]
[(12.980105, 77.60518000000002)],[ChIJKa3bM34WrjsR8hwFaMQ8374]
[(12.9675161, 77.57197199999996)],[ChIJVVVVlQcWrjsRKwp33ro5mCU]
[(12.967313, 77.57385599999998)],[ChIJgZE9DAgWrjsRRnzzhd44oXI]
[(12.976308, 77.57760699999994)],[ChIJOZ6SPw4WrjsR2Z1lgdj9GJQ]
[(12.977868, 77.57933400000002)],[ChIJERv0ABIWrjsRpOQZM3zc_ag]
[(12.968583, 77.57266700000002)],[ChIJmfYDzgcWrjsRIvwmtnA5d9g]
[(12.977097, 77.57683199999997)],[ChIJc3mpLw4WrjsRPxRg5h-DNLk]
[(12.974287, 77.57338800000002)],[ChIJAQAAwAsWrjsRk36eWS3uAB4]
[(12.974433, 77.60786699999994)],[ChIJ-YSUWIcWrjsRy07-YSFcCwA]
[(12.9706228, 77.60666570000001)],[ChIJs2ukOH4WrjsRzGpU2seJJVw]
[(12.976216, 77.57779299999993)],[ChIJdX7Hag4WrjsRSJQfEFGv3Rg]
[(12.968937, 77.60635300000001)],[ChIJWSdaF34WrjsROtGwPrF2uAY]
[(12.976253, 77.57777599999997)],[ChIJeT20ag4WrjsRoG6SX2BG2PM]
[(12.9741483, 77.53832039999998)],[ChIJB1EvZt09rjsRA7X2RVEE9m8]
[(12.9744558, 77.60774070000002)],[ChIJbWirW4AWrjsRUiCWdxRh-NA]
[(12.9796561, 77.5748069)],[ChIJE8R9PncWrjsRO2Wt2O3Dlc0]
[(12.97662, 77.57775100000003)],[ChIJabriFQ4WrjsRhYVihUnLVmE]
[(12.9808377, 77.6030025)],[ChIJlxuPbmMWrjsR-jilK1OHnpc]
[(12.96458, 77.54201899999998)],[ChIJ-TWYfwo-rjsRoNjQIit8x2w]
[(12.9691176, 77.57530109999993)],[ChIJo4MV0g4WrjsRaZHDvejguHQ]
[(12.980056, 77.57705390000001)],[ChIJi8fFpREWrjsR0kwRP74fo6Y]
[(12.9819998, 77.60894680000001)],[ChIJ1Xe1NIgWrjsRybGMlBYjcg0]
[(12.9707555, 77.58056850000003)],[ChIJAQAAwAsWrjsRcC3oy-BnjBQ]
