[(12.9614496, 77.60300959999995)],[ChIJy_gO8dMVrjsRvCxv6bUYVCI]
[(12.9591533, 77.55792369999995)],[ChIJmTW-3AM-rjsRFyiokJ9Ax2k]
[(12.951302, 77.59451539999998)],[ChIJzR6qxsUVrjsRCCVROVYMtDM]
[(12.9530138, 77.56125900000006)],[ChIJ1UouXR0-rjsR-h63apMUyEw]
[(12.9513501, 77.60807199999999)],[ChIJI0jBUzMUrjsRNhJr479XoAw]
[(12.9510573, 77.58472099999994)],[ChIJ9VVa4OkVrjsRHBF28ICfq24]
[(12.9724845, 77.5433375)],[ChIJf5KpkuY9rjsRHQ81sjSuT6k]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRIAwuS_SqyRY]
[(12.9666279, 77.51895890000003)],[ChIJZyKLVdQ9rjsRbwewq4pybDs]
[(12.9660632, 77.55984080000007)],[ChIJH5GI2v89rjsR2QGXGenCHKA]
[(12.9430311, 77.56946459999995)],[ChIJmwJpvowVrjsR0JVGQxxLHms]
[(12.9857367, 77.59095509999997)],[ChIJ7ywPXWkWrjsROJGazHbfZhg]
[(12.9683279, 77.65387770000007)],[ChIJAQAAsP4TrjsRLJA6IqPyEt8]
[(12.97838, 77.72476299999994)],[ChIJd5hfj_QRrjsRcjegYLpuNn0]
[(12.9276224, 77.62730060000001)],[ChIJ7yZK8l4UrjsRjaS0t99fbLM]
[(12.9283591, 77.63347640000006)],[ChIJTVknIWEUrjsRQkTgn0IUDys]
[(12.9415587, 77.57555400000001)],[ChIJ4zqO6ZIVrjsRSwuhJweaVJY]
[(12.9220882, 77.66572769999993)],[ChIJKQjZencTrjsRTD8eZpFOelY]
[(12.9116122, 77.59872870000004)],[ChIJEX0nJAUVrjsR1ZQaZqQMJKk]
[(12.848389, 77.69441039999992)],[ChIJQSUrQuNsrjsR9ysPImcjMhg]
[(13.0526838, 77.60543239999993)],[ChIJlyjyh4EXrjsRmBWT9crqX3Y]
[(12.9362236, 77.58576189999997)],[ChIJDci-mr0VrjsRL_B15UqDzOM]
[(13.0114645, 77.53677319999997)],[ChIJqxuT8Qo9rjsRrEirT8xLtg4]
[(12.9497744, 77.58665880000001)],[ChIJXZoEisEVrjsRuCT-CccjOWw]
[(12.9899745, 77.71482620000006)],[ChIJBTJYy5YRrjsR8PMmXK9XlT8]
[(13.0449137, 77.58361300000001)],[ChIJ80O8s5IXrjsREDgkULkkPCg]
[(13.025651, 77.59265630000004)],[ChIJ4-tYRboXrjsRRYyIu4vkXIQ]
[(12.9135289, 77.64269469999999)],[ChIJQxkuUIUUrjsR07iJ7l_IG-s]
[(12.9131157, 77.50720860000001)],[ChIJe6_5dgM_rjsR4tqiXB2oub0]
[(12.8925986, 77.61071849999996)],[ChIJYcgDhNgUrjsRCc3gT6LPD0Q]
[(12.9378927, 77.5714805)],[ChIJI96R2I0VrjsRT0iAqQH9Kmo]
[(12.9091404, 77.58775830000002)],[ChIJo11XYBIVrjsRg36s6QZsoUQ]
[(12.8903566, 77.58726239999999)],[ChIJ_c_5VjgVrjsRlXabhj3lGMA]
[(12.8912288, 77.59817410000005)],[ChIJJTks4iQVrjsRLWiKfTtq7D8]
[(12.97116, 77.64412659999994)],[ChIJdxLtRqgWrjsRkqR6hgNv6X4]
[(13.0026859, 77.57024279999996)],[ChIJExnMVS4WrjsRXcnBrOV7BXk]
[(12.9102882, 77.63521630000002)],[ChIJyRqw45IUrjsRvlwo15fM88g]
[(12.9754331, 77.64484249999998)],[ChIJXYv8Kq8WrjsR-8_lKwET1tc]
[(12.8819341, 77.52467950000005)],[ChIJiwllD4U_rjsRdrv-TgtsBDM]
[(12.9345258, 77.54313309999998)],[ChIJPQR8ETk-rjsRkiuYJ1l7A6k]
[(12.9426281, 77.54277479999996)],[ChIJja_ZkRU-rjsRTVPygPsG35o]
[(12.934273, 77.63168510000003)],[ChIJteHN6GcUrjsRnm0Axger2Gk]
[(12.911362, 77.60474269999997)],[ChIJrfdrKwMVrjsRxigw5Hz7tbI]
[(12.9795962, 77.63589290000004)],[ChIJzTUGW6MWrjsRAwYreqeMd7Y]
[(13.0344699, 77.62712160000001)],[ChIJ23EKwBQXrjsRar8bUmB6ntE]
[(12.9942023, 77.6090398)],[ChIJP57klvUWrjsRxqRX9CYZ6M8]
[(12.9974099, 77.55289619999996)],[ChIJjcHwo489rjsR4t5i_bYEBvo]
[(13.040967, 77.57561699999997)],[ChIJzVD-nO4XrjsRzFS0AFuZZBo]
[(13.031189, 77.59093699999994)],[ChIJ7Y5UPHcWrjsRfh7Ez34H-oo]
[(13.0236237, 77.60623469999996)],[ChIJ6SCicqgXrjsR0MAudqapEGc]
[(13.0711765, 77.55674739999995)],[ChIJD8RWmKYirjsRWOEvgbtZxXo]
[(12.896472, 77.32714699999997)],[ChIJbQvi-TQWrjsR8sMAa7CC5Ag]
[(12.957092, 77.66294400000004)],[ChIJyST3IuITrjsR2o434f5gnKc]
[(12.9631118, 77.63809409999999)],[ChIJeahNjBsUrjsR0ZNIVk4Aw5g]
[(12.938633, 77.63135599999998)],[ChIJ50e72mkUrjsRjip3-f-3YeE]
[(12.9780875, 77.64126280000005)],[ChIJlya2d6UWrjsRPpmZNStk3Dg]
[(12.942115, 77.56243799999993)],[ChIJ-f__Pxs-rjsR51az2SIEKBw]
[(13.0007185, 77.62148249999996)],[ChIJyXJfo-8WrjsRh80BsP54qC4]
[(12.9077759, 77.58146399999998)],[ChIJEYJ-pW0VrjsRT8l0kL-U_iU]
[(13.0101494, 77.57528530000002)],[ChIJQZIxxDIWrjsRNA_TnmRIKzU]
[(13.0083114, 77.65817609999999)],[ChIJzU2KPiwRrjsRY0wP45ZO5Ew]
[(12.9083761, 77.627794)],[ChIJjd5RX-wUrjsRgXHaWrakXyc]
[(12.9309199, 77.590194)],[ChIJjZKQfKMVrjsR5Fge9ehkUcg]
[(12.9020379, 77.5593447)],[ChIJH4ooIN8_rjsRkeR6ZjYY94s]
[(12.9690078, 77.67481850000001)],[ChIJA8oRXeATrjsRFKbys8X4Cfg]
[(12.965225, 77.7082431)],[ChIJ2_W4Hi8SrjsRQMvJQH7HvLA]
[(12.9148974, 77.60412789999998)],[ChIJl6FwKwMVrjsRvO6k3sH53Ng]
[(13.0645683, 77.74873980000007)],[ChIJZ0Qge_8PrjsRnT-wa_o51zw]
[(12.9139795, 77.59857360000001)],[ChIJ9V_2JQUVrjsRm_3IE-1s4z0]
[(12.8434674, 77.6575497)],[ChIJ-RjiFINsrjsR2mo21AE8D70]
[(12.925567, 77.56108300000005)],[ChIJYWgOGyo-rjsRsfSE-Y6KiTA]
[(12.995504, 77.55588)],[ChIJTT0szI49rjsR3wwFAEX1umQ]
[(13.0189883, 77.59651110000004)],[ChIJu4Auya8XrjsRS5ghtTyMSD8]
[(12.9072521, 77.50819419999993)],[ChIJL5VxgwU_rjsR2lgtqkEgWOI]
