[(12.97335, 77.58015)],[ChIJx16OFgwWrjsRla1WAJLaYjY]
[(12.962467, 77.59153300000003)],[ChIJkdwPHO4VrjsRFpLKTrn2xyc]
[(12.97422, 77.57547999999997)],[ChIJuTNqqnsWrjsRRtNgduVzLvM]
[(12.961326, 77.58378399999992)],[ChIJQWgItOAVrjsR5YkDVIO5jms]
[(12.975433, 77.59741699999995)],[ChIJ7Y5UPHcWrjsR8y_5eqFsD_Q]
[(12.9602859, 77.57116580000002)],[ChIJ_6X1O_sVrjsRqMvHBTvIpfA]
[(12.975361, 77.60397160000002)],[ChIJ7zTLxXkWrjsR3wD88uswCes]
[(12.970341, 77.60076900000001)],[ChIJkzN6IHkWrjsRIAXkHMrBS8U]
[(12.9789554, 77.57483760000002)],[ChIJVVVVhVkYrjsR2rFyh-Stz0E]
[(12.9607221, 77.59414489999995)],[ChIJ5X5nOtoVrjsRu3PCJ-HTYeI]
[(12.970316, 77.57980680000003)],[ChIJcfZV2ygWrjsRQwnOcuM1004]
[(12.9749566, 77.60751260000006)],[ChIJY0j1jH0WrjsRAZO8uOKc3hs]
[(12.9623318, 77.59133670000006)],[ChIJCeVL5PkVrjsRKTIYrT2MKxU]
[(12.9613216, 77.58385659999999)],[ChIJ4WrMseAVrjsRbxeDIgs13Dg]
[(12.9596414, 77.59377740000002)],[ChIJ-84iTNoVrjsRfZufO9tEXAI]
[(12.9720342, 77.5830459)],[ChIJx_vZhgwWrjsRL6aVWyudAnk]
[(12.9565935, 77.569752)],[ChIJsZNFRPoVrjsRCppMauuLkeU]
[(12.9513096, 77.56877970000005)],[ChIJC-RiJPEVrjsRp4YC7QUXHsA]
[(12.9746476, 77.60971769999992)],[ChIJsUq6r_IVrjsRldSxf7p8q3g]
[(12.9606016, 77.59431259999997)],[ChIJzW-iG9sVrjsRcbrM_Yl7e6E]
[(12.9721192, 77.58749739999996)],[ChIJ-T3IhnQWrjsRztZAmulzBP4]
[(12.9680139, 77.5919834)],[ChIJG5D70nwVrjsR4OWYAI7jH54]
[(12.9734427, 77.59556999999995)],[ChIJm6Qm_eQRrjsR1ZjJAiXNuIM]
[(12.9736709, 77.61318860000006)],[ChIJLziZVIEWrjsRwnotJVESSTQ]
[(12.9732535, 77.58014849999995)],[ChIJ7Y5UPHcWrjsRpSSUBlpHd44]
[(12.967204, 77.58921770000006)],[ChIJX9cmi3UWrjsRXbnjp6ai-Oo]
[(12.957526, 77.58205900000007)],[ChIJvbE7recVrjsRqp80vKfrMtI]
[(12.9689282, 77.60023649999994)],[ChIJO-UQI3kWrjsR2aeivvjHzps]
[(12.971606, 77.59437600000001)],[ChIJ7Y5UPHcWrjsRNZseB8M659w]
[(12.9817399, 77.5996073)],[ChIJQcu4VmQWrjsRY6eyCGt4NXQ]
[(12.9715987, 77.59456269999998)],[ChIJLU6lP4cWrjsRzz0c19MgYmA]
[(12.9694435, 77.57959099999994)],[ChIJDbVy0wsWrjsRWydG9aFPNPs]
[(12.9685552, 77.53709419999996)],[ChIJjRBQQt49rjsRDi2ud3UgfV4]
[(12.974337, 77.60876389999999)],[ChIJI-qF_IMWrjsRkzgPV4YB9DU]
[(12.968467, 77.57963300000006)],[ChIJ6TylJQoWrjsRfGadNrix2_k]
[(12.97493, 77.57602999999995)],[ChIJNwnKqw8WrjsR5C4kDH-3MXw]
[(12.9824212, 77.59785009999996)],[ChIJ22nzkmUWrjsRny374fD7eO0]
[(12.958883, 77.58286699999996)],[ChIJuc4uEOcVrjsR6j2P5lxtX64]
[(12.9741, 77.57836700000007)],[ChIJ3-4SkA4WrjsRBKUJ3OjH8rA]
[(12.95855, 77.58251700000005)],[ChIJneAzBOcVrjsREwYNXamUKJQ]
