[(12.960689, 77.58180300000004)],[ChIJq6qq2uYVrjsRStP3mPYa26o]
[(12.9701158, 77.61251270000002)],[ChIJ_zl7l4EWrjsRtcu6TiDhTa8]
[(12.9592451, 77.5890071)],[ChIJBa3gQtwVrjsR1MbOYzPb4LU]
[(12.96923, 77.57309099999998)],[ChIJVVVVlQcWrjsREMazF7RxdH8]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsR_LuU2UANBjg]
[(12.965034, 77.53793100000007)],[ChIJMXQo8t89rjsRurVyEQYMdmk]
[(12.9601962, 77.58899539999993)],[ChIJIWF-PtwVrjsRMKOq_Skb1A4]
[(12.9584975, 77.58566040000005)],[ChIJ-XpJd90VrjsR2qDuJpu_wUk]
[(12.9566622, 77.58687140000006)],[ChIJ0xiNPN0VrjsRTKDBFSkTYII]
[(12.9697654, 77.59152300000005)],[ChIJS-k_YnYWrjsRoJ6S5ML67lM]
[(12.9768232, 77.57809350000002)],[ChIJ-Q8pEQ4WrjsRlZI6QJeytUY]
[(12.9703684, 77.58077990000004)],[ChIJ49I6uQsWrjsRNY4umk7Y86E]
[(12.95839, 77.59200499999997)],[ChIJdVvRdNsVrjsRZIxrqVVU-6E]
[(12.969612, 77.57567900000004)],[ChIJxTFa-ggWrjsREXRDLSRQbCg]
[(12.9633701, 77.59396420000007)],[ChIJ_XNdpNkVrjsRbkeImu6OMac]
[(12.958384, 77.59247499999992)],[ChIJByltCdsVrjsROEMXhvTbT9E]
[(12.9575258, 77.59118169999999)],[ChIJ03zaZdsVrjsRvzkBI6DPLok]
[(12.9722232, 77.57975770000007)],[ChIJXdPqBwwWrjsRvzDMmGuAp2Q]
[(12.96875, 77.53725800000007)],[ChIJO28Yat49rjsRny-k3z_W4Gw]
[(12.9590428, 77.59101310000005)],[ChIJfwQxhNsVrjsR3hIHql4wFs8]
[(12.969089, 77.57695000000001)],[ChIJVQUNqAkWrjsRzgp8GEbfdXE]
[(12.958835, 77.59039400000006)],[ChIJlalAgtsVrjsRIgNfTdVnMyI]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsROyBCfZzYW-I]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRxpST5ykUst8]
[(12.97695, 77.55328299999996)],[ChIJ____G-U9rjsRP1T1yi08R90]
[(12.9599163, 77.58322099999998)],[ChIJX1aAEOcVrjsRkcYSUXGQYIY]
[(12.970907, 77.60085700000002)],[ChIJO-UQI3kWrjsRfQxlVeeIvEE]
[(12.9661501, 77.606267)],[ChIJE8R9PncWrjsRc06e6AP9tN0]
[(12.952947, 77.59319099999993)],[ChIJ6cTxPsMVrjsRPqCZu9fB2p4]
[(12.9760588, 77.54912200000001)],[ChIJMQ_K6-89rjsRjlefAc12vVg]
[(12.972191, 77.60116200000004)],[ChIJO-UQI3kWrjsRv8bMWFD2UI0]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsR3o_tNXIbj5E]
[(12.9715987, 77.59456269999998)],[ChIJq6qq-mYVrjsR2CZ25YC1x_g]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRF5L1h4bXSl8]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRFvA3_cMYN5A]
[(12.9550488, 77.54464209999992)],[ChIJu8ij3w0-rjsRRa-Ypkp0PI0]
[(12.9580764, 77.58490329999995)],[ChIJaaWjpN0VrjsRTR_X3_5tDRo]
[(12.95693, 77.58151999999995)],[ChIJX1aAEOcVrjsRxIq3ZSDKe2w]
[(12.955849, 77.58008500000005)],[ChIJv8Qvc-QVrjsR0v_CSnNuRWE]
[(12.958292, 77.58638500000006)],[ChIJ92WiCt0VrjsRixcQH-DjRgY]
[(12.9800556, 77.61281770000005)],[ChIJrbT-r4gWrjsRk7cZuwfmi5k]
[(12.9807696, 77.60290080000004)],[ChIJFTQXb2MWrjsRmHWNul-BZ-U]
[(12.961345, 77.58121000000006)],[ChIJtWHRM-EVrjsRCKmvJml2uJY]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRb_CgYCOEhF4]
[(12.9626067, 77.57268840000006)],[ChIJVVVVxfwVrjsRjMownQZlcns]
[(12.958083, 77.580017)],[ChIJE8R9PncWrjsRQW1PMKvR3H0]
[(12.9569, 77.58233300000006)],[ChIJbY4stOcVrjsR7qFxdywSgO4]
[(12.9596604, 77.58917580000002)],[ChIJ6QF5atwVrjsRnuKZi7TwmiY]
[(12.958767, 77.58036700000002)],[ChIJq6qq2uYVrjsR7IB20V0oGIA]
[(12.9644018, 77.58813209999994)],[ChIJQelPStkVrjsR6znhUgTSuA8]
[(12.9564251, 77.58128069999998)],[ChIJX1aAEOcVrjsR7kn6brBN_vI]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRiZdZ6gRyNx8]
[(12.980139, 77.57455499999992)],[ChIJ4WdyYRAWrjsRgjSKrZStbss]
[(12.976594, 77.59927100000004)],[ChIJeyE40hUWrjsRrRiTckIm3KY]
[(12.9715987, 77.59456269999998)],[ChIJFUe1OfA9rjsRimt2r4Gh0jI]
[(12.961986, 77.58396800000003)],[ChIJE8R9PncWrjsRQPXKdbPNqlU]
[(12.958517, 77.58064999999999)],[ChIJa7o98-YVrjsRQzhKSzljkB0]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRGC0uFP9ZNI0]
[(12.97635, 77.525667)],[ChIJTYTCxs89rjsR5So5m51CjE4]
[(12.956582, 77.58139559999995)],[ChIJX1aAEOcVrjsRDesuBdO5e-k]
[(12.982194, 77.60835999999995)],[ChIJYdymemIWrjsR3dXftTooOns]
[(12.959283, 77.58218299999999)],[ChIJ-431HucVrjsRGnL_Ju-R7r0]
[(12.955692, 77.56755299999998)],[ChIJ2y_b9fkVrjsRAVyYucrj4hE]
[(12.9723897, 77.60870399999999)],[ChIJBybmM38WrjsRYOvaR1Fpgwc]
[(12.955711, 77.58820700000001)],[ChIJp5UR09wVrjsRmHJn6FB_Wxk]
[(12.968817, 77.57304999999997)],[ChIJW86B1AcWrjsRe4vrACVLJms]
[(12.9644018, 77.58813209999994)],[ChIJQelPStkVrjsRIeWMor9gi4g]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRlaikJSVhrnk]
[(12.957717, 77.58643299999994)],[ChIJg0FNQN0VrjsRymoWXkkGlLM]
[(12.956, 77.588167)],[ChIJL9JD0dwVrjsRSVXPo875q7Y]
[(12.95651, 77.58052999999995)],[ChIJAb1lFeYVrjsRTXeXqk8nKCg]
[(12.9630188, 77.5812479)],[ChIJVVVVVcjqwjsRx_31ZF_ORnA]
