[(12.8510196, 77.59350259999997)],[ChIJtS1Yb-pqrjsRpDWpZ-OkwPI]
[(12.8516557, 77.67594910000003)],[ChIJSbktRJNsrjsR2JL7QgrNaPw]0
[(12.8516557, 77.67594910000003)],[ChIJSbktRJNsrjsR2JL7QgrNaPw]1
[(12.8516557, 77.67594910000003)],[ChIJSbktRJNsrjsR2JL7QgrNaPw]2
[(12.8516557, 77.67594910000003)],[ChIJSbktRJNsrjsR2JL7QgrNaPw]5
[(12.8516557, 77.67594910000003)],[ChIJSbktRJNsrjsR2JL7QgrNaPw]7
[(12.8516557, 77.67594910000003)],[ChIJSbktRJNsrjsR2JL7QgrNaPw]8
[(12.8527046, 77.66813769999999)],[ChIJN9i20JZsrjsR90UEtPXXcqI]
[(12.8527046, 77.66813769999999)],[ChIJN9i20JZsrjsR90UEtPXXcqI]1
[(12.8527046, 77.66813769999999)],[ChIJN9i20JZsrjsR90UEtPXXcqI]3
[(12.8527046, 77.66813769999999)],[ChIJN9i20JZsrjsR90UEtPXXcqI]8
[(12.8542482, 77.66968999999995)],[ChIJa0zxk5ZsrjsRW0fp39_vNbE]
[(12.8542482, 77.66968999999995)],[ChIJa0zxk5ZsrjsRW0fp39_vNbE]3
[(12.8542976, 77.66658269999994)],[ChIJ61PULZFsrjsRJNTrJcwGBuc]
[(12.8543194, 77.6669776)],[ChIJ61PULZFsrjsRVwqON6yoHBo]
[(12.8547378, 77.6709366)],[ChIJxTUwKpRsrjsRX1A3MvxXjr8]
[(12.85604, 77.66386869999997)],[ChIJOZUyPphsrjsR1H6-YPq9CKM]
[(12.856339, 77.58895239999993)],[ChIJP6e23RgVrjsRXAzvUokMCyU]
[(12.856339, 77.58895239999993)],[ChIJP6e23RgVrjsRXAzvUokMCyU]3
[(12.8569265, 77.45499999999993)],[ChIJy0wF70RHrjsRSEeFQwn7VlY]
[(12.8574237, 77.76157409999996)],[ChIJ9bYiu5ZyrjsRT4HmWdK1FdU]
[(12.8574914, 77.59851159999994)],[ChIJh-fI_NxqrjsRgSXpo7N8X5Q]
[(12.8586995, 77.59633370000006)],[ChIJNesstdxqrjsRNUGIldR1gk8]
[(12.8594506, 77.54259589999992)],[ChIJuTKzuhNArjsRVMEm1ff4AxQ]
[(12.859455, 77.65930630000003)],[ChIJe43fJ6JsrjsRRZZEWhFZG20]
[(12.859455, 77.65930630000003)],[ChIJe43fJ6JsrjsRRZZEWhFZG20]0
[(12.8601717, 77.59025040000006)],[ChIJwVgsqcZqrjsRkFBJ0Jm9TeA]
[(12.8602868, 77.43714449999993)],[ChIJ_____5g4rjsRjiUsG5fqlVc]
[(12.8614515, 77.66470809999998)],[ChIJwb4iy7xsrjsRdl79p7cwrUs]
[(12.861738, 77.53186800000003)],[ChIJz_hsPW5ArjsRpfbcrvb90XU]
[(12.8625774, 77.66491769999993)],[ChIJu2zWM6NsrjsROxyT-yT9BC0]
[(12.8628507, 77.43784289999996)],[ChIJYezSmmRHrjsROoFY8Qw-EFA]
[(12.8636991, 77.656297)],[ChIJq6qqJ6dsrjsRVNEquTq2hF8]
[(12.8661023, 77.57816430000003)],[ChIJRXKXuLBqrjsRL9Tm70HVgsM]
[(12.8661441, 77.60076460000005)],[ChIJ4d-nus1qrjsRH1EYddPmyNU]
[(12.8662186, 77.65837179999994)],[ChIJBTvniPEUrjsRln2qHjalVb8]
[(12.8662186, 77.65837179999994)],[ChIJBTvniPEUrjsRln2qHjalVb8]3
[(12.866425, 77.53420099999994)],[ChIJq6qq-mYVrjsRPxkp6s9GP3A]
[(12.8682531, 77.61664880000001)],[ChIJAQAAQC5rrjsRXSRT0KrPeGU]
[(12.8682531, 77.61664880000001)],[ChIJAQAAQC5rrjsRXSRT0KrPeGU]8
