[(12.9606589, 77.54667789999996)],[ChIJz7dGFgk-rjsR6wXVpcpGb18]
[(12.95932, 77.60397699999999)],[ChIJ8UgPs9MVrjsRe2JpkZ5IqbM]
[(12.973539, 77.54969200000005)],[ChIJWS7yJ-U9rjsRzxx4CnJspmk]
[(12.981736, 77.56014900000002)],[ChIJ6_sHbvY9rjsR2jh6olovcfM]
[(12.952748, 77.58800399999996)],[ChIJk82FX8YVrjsRLfM_ZnrTMrU]
[(12.953538, 77.57010600000001)],[ChIJ-RJpjPAVrjsRE9PobABz0yo]
[(12.9791673, 77.60674829999994)],[ChIJk0J3S30WrjsRksvexXxKlUI]
[(12.955456, 77.5305922)],[ChIJ28LH7-Y9rjsRmwYFU4gWik4]
[(12.965717, 77.53835000000004)],[ChIJKdMy5t89rjsRcFTOzCGVtXk]
[(12.9645612, 77.52539619999993)],[ChIJ2WJkQtY9rjsRVd-323QRibw]
[(12.981117, 77.53764999999999)],[ChIJb_VGfb49rjsRtQbXryvZ26M]
[(12.9715064, 77.56534080000006)],[ChIJzTHEcMc7rjsRqDS2H4VMLaw]
[(12.962969, 77.54012999999998)],[ChIJbXsowQo-rjsR9-YG5syoBL4]
[(12.9596846, 77.56839769999999)],[ChIJ____v_gVrjsR2ucXA4bv32Y]
[(12.976048, 77.58650599999999)],[ChIJCb6O6HIWrjsRygjMKOdYBs4]
[(12.961098, 77.59591999999998)],[ChIJCR4yBNoVrjsRmAxfWt9UH3w]
[(12.957342, 77.52801509999995)],[ChIJISGXgKQVrjsRJS6-VGmO1Rk]
[(12.9540622, 77.57346380000001)],[ChIJVVVVhe8VrjsRIpI7wMZ0suM]
[(12.9691387, 77.57072930000004)],[ChIJ9Z9V_wYWrjsRpSjuVP_PZYY]
[(12.9516553, 77.5282846)],[ChIJ67lR7G8-rjsRTf9VcWBzAn8]
[(12.96229, 77.53845960000001)],[ChIJnUvKL3U-rjsREdy2LkkQX-4]
[(12.9735762, 77.57379839999999)],[ChIJd522Zg8WrjsRY87OK6ypoCE]
[(12.9751551, 77.53792580000004)],[ChIJ4Rk3T909rjsR8o8TV524K2E]
[(12.9718542, 77.59480659999997)],[ChIJuRnnmXcWrjsRrcAPNVuLN-Q]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRVV0a4ysWC4I]
[(12.955096, 77.53532399999995)],[ChIJ8xZpRXI-rjsRfl1N90M-loY]
[(12.9605533, 77.56657849999999)],[ChIJfxwGtP4VrjsRlclI-4D7D7I]
[(12.959189, 77.52233890000002)],[ChIJCXMDyo89rjsRoCWEPkK2WTI]
[(12.9741483, 77.53832039999998)],[ChIJB1EvZt09rjsR3AZsAicZpFc]
[(12.969886, 77.53327999999999)],[ChIJIwAAANw9rjsR7MgUYQI5N98]
[(12.952822, 77.59314799999993)],[ChIJl4Rd-sUVrjsRK0MMmIXeOjE]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRAsLxZQe55m8]
[(12.9675161, 77.57197199999996)],[ChIJVVVVlQcWrjsRmfYUJ2K6Wzc]
[(12.952977, 77.56337499999995)],[ChIJ8f__v_cVrjsRFtrvjXqm_Bg]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRDuDqrDUmIVM]
[(12.9603116, 77.51949730000001)],[ChIJY-V0-34-rjsR8TVq9lssJRA]
[(12.959617, 77.56698299999994)],[ChIJM_YjUPkVrjsR3rdeNzpguWg]
[(12.957658, 77.52899400000001)],[ChIJk-j-x3A-rjsR8wYqBS8Ru1g]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsROmFXNnn5JII]
[(12.975264, 77.53246999999999)],[ChIJ-5y9Tds9rjsRpTgRoMKhwNY]
[(12.9568635, 77.60418179999999)],[ChIJVVVVZdIVrjsRf6B69oiSYIo]
[(12.9627488, 77.56947179999997)],[ChIJT3GxjgkWrjsRZhqZWyRxfxw]
[(12.9753272, 77.60537840000006)],[ChIJCwPCr30WrjsR5Nk9gqsbX8k]
