[(12.9617142, 77.5262649)],[ChIJXRg-23k-rjsR-EPNUjzSpQA]
[(12.9648713, 77.56942549999997)],[ChIJz6cFlP0VrjsRxaZZLPfUI_o]
[(12.968367, 77.52626699999996)],[ChIJyXzkQNc9rjsRTI9-pihdm2g]
[(12.96845, 77.52573299999995)],[ChIJWyoBPNc9rjsRGpsBOsHzOjk]
[(12.976367, 77.52433300000007)],[ChIJq_XWNc49rjsRAKqmDnCJuLs]
[(12.9558535, 77.55810710000003)],[ChIJJaXZEAM-rjsROsF8eiRH-yI]
[(12.9789256, 77.5365696)],[ChIJzf7ZU8I9rjsRKab5glnpiTM]
[(12.979074, 77.54224599999998)],[ChIJxaThA-k9rjsRNv97E9DG1C0]
[(12.9597398, 77.60195279999994)],[ChIJgxE3fdEVrjsR8P3Bwh_gJmw]
[(12.9656762, 77.58335980000004)],[ChIJgz7rPeAVrjsR0_w_rLIJBDk]
[(12.960844, 77.54239000000007)],[ChIJf5FkpAs-rjsRw_v-hgV33gI]
[(12.9504178, 77.5635939)],[ChIJSzQYQfYVrjsR-vqzbciuOgc]
[(12.9694322, 77.53414350000003)],[ChIJuVaupd49rjsRsPpcsuuxm3E]
[(12.9680012, 77.52922239999998)],[ChIJ0czDvtk9rjsRevr0bt3lJkA]
[(12.9645689, 77.6060324)],[ChIJK91S4dQVrjsRb_qooV321K8]
[(12.9663888, 77.5945385)],[ChIJS4zfbdgVrjsRDfooU_OahkI]
[(12.979615, 77.52533319999998)],[ChIJ-Wk7I889rjsRzPlqKLxLS_4]
[(12.962354, 77.54397930000005)],[ChIJpxTpMQo-rjsR5PV8ZCLFwNU]
[(12.9579457, 77.576099)],[ChIJfRCz_-QVrjsR8PReBpCdnHU]
[(12.9774159, 77.524495)],[ChIJR4uqU849rjsRePQViRMDbo4]
[(12.9801446, 77.54261429999997)],[ChIJkZChEuk9rjsRBfSArYKZLc4]
[(12.981394, 77.55167800000004)],[ChIJpURrtBA-rjsRMe-UTMxmxcw]
[(12.9670328, 77.57240160000003)],[ChIJ1xOM7gcWrjsRD-7s2rqjEQ4]
[(12.9530204, 77.52561309999999)],[ChIJ0Vjyzno-rjsRRej3Ojp-WqM]
[(12.9528037, 77.52725729999997)],[ChIJ46OOTGU-rjsREOhkg_0a7fc]
[(12.958157, 77.55914800000005)],[ChIJeaFASwI-rjsRhedkHmfyDSs]
[(12.98169, 77.55245000000002)],[ChIJNaQgj_E9rjsRhecSRFyckOw]
[(12.9721832, 77.55599189999998)],[ChIJ9xcF4fs9rjsRsObC-a4rBlI]
[(12.9519637, 77.53501699999993)],[ChIJx9b3k20-rjsRjeZT-WEYUSU]
[(12.9599048, 77.60179560000006)],[ChIJR28NY9EVrjsReOYXBpeETI0]
[(12.963788, 77.55715499999997)],[ChIJayHjxgA-rjsRT-ZTw3TAiXI]
[(12.9701589, 77.57446019999998)],[ChIJw22mlggWrjsRPeX9_1Sz-x8]
[(12.9692648, 77.55887619999999)],[ChIJ3_iu4_49rjsR4eR-__oSU5U]
[(12.9761551, 77.52647339999999)],[ChIJNajM7s89rjsR-uLRrT2TJbo]
[(12.9601366, 77.5267867)],[ChIJb3zIxHk-rjsRdOIieiji-Kk]
[(12.9567535, 77.57747100000006)],[ChIJ17EyueUVrjsRZ-EacQ77sH4]
[(12.9548521, 77.56156280000005)],[ChIJj_srrwI-rjsR-OBFvae7GKo]
[(12.9639595, 77.61175960000003)],[ChIJh9F7visUrjsRdOA9FJ2wEpI]
[(12.970463, 77.61274400000002)],[ChIJJ5jEN4IWrjsRbeCfIjjK_To]
[(12.9659984, 77.55312520000007)],[ChIJIYgOd_09rjsREOAseRjIRxQ]
[(12.9566335, 77.5653648)],[ChIJMdvTr_kVrjsR_t-zx3BpfHM]
[(12.979698, 77.52594799999997)],[ChIJkRAhP889rjsR7N5bO6BoVhE]
[(12.9542, 77.54106100000001)],[ChIJ3yZLbg0-rjsRp96qjxMG98Y]
[(12.9714156, 77.57220940000002)],[ChIJByoKDAYWrjsRWN5-NmyHd3Q]
[(12.964119, 77.52429819999998)],[ChIJcc1QKdY9rjsR8NwvDVTgYO4]
[(12.9508325, 77.59924849999993)],[ChIJMR0J1s4VrjsRJdslHgPDUwk]
[(12.9643693, 77.55582419999996)],[ChIJbT6ZTgc-rjsRD9vFYuWfEz4]
[(12.9736012, 77.56153599999993)],[ChIJU81vhPg9rjsRJ9qcAMu4QTY]
[(12.956264, 77.55517199999997)],[ChIJx297jgQ-rjsR_NjCuYhkalY]
[(12.9573696, 77.54648610000004)],[ChIJl-c87A4-rjsRfNjFCzbhtzg]
[(12.9736877, 77.60714889999997)],[ChIJc6Gm430WrjsRUth-Rz_LE78]
[(12.958735, 77.53923499999996)],[ChIJFyRQqgw-rjsR9dcneO91RYw]
[(12.9572161, 77.53168189999997)],[ChIJgbCzP3E-rjsRrtfiqueIhaE]
[(12.9720691, 77.5278118)],[ChIJVxVAedo9rjsRndZ2PL1uDEA]
[(12.960131, 77.56900999999993)],[ChIJkTzg9PsVrjsR19VqPfNo2TE]
[(12.9651848, 77.56848160000004)],[ChIJKa3C7_0VrjsRvdRfdBYAOgk]
[(12.9697001, 77.53281119999997)],[ChIJx9FeVtk9rjsRUdTDcL7-3OE]
[(12.9656357, 77.57085000000006)],[ChIJHchEef0VrjsRhtLOvfRzzYU]
[(12.950826, 77.53916600000002)],[ChIJCZtz0xI-rjsR9tD6jESuFV4]
[(12.9759219, 77.5996404)],[ChIJHX9gB3sWrjsRPdAnQw6FxUM]
[(12.9612068, 77.54597949999993)],[ChIJRYuvbQk-rjsRtc9jxN0liWE]
[(12.958634, 77.54206799999997)],[ChIJ14UsfAw-rjsRUM3lfWSF6AI]
[(12.96596, 77.578171)],[ChIJUwbqDuIVrjsRCc0kwUDMYUM]
[(12.973197, 77.53772700000002)],[ChIJ--aMdN09rjsRS8z-CZrCiFk]
[(12.9563871, 77.55206939999994)],[ChIJZwx0CwU-rjsRy8snFA3QLlI]
[(12.9545113, 77.56548380000004)],[ChIJm6P81_kVrjsRssvdjZWYLKM]
[(12.962744, 77.53430300000002)],[ChIJR5c6wnU-rjsRlsvViHCYmHI]
[(12.9627839, 77.60587310000005)],[ChIJ4yF1mtQVrjsRKssF5vVZJM8]
[(12.966851, 77.59932900000001)],[ChIJ72fzMdYVrjsRYMcKZuxzJDA]
[(12.9635376, 77.5205704)],[ChIJTyICX38-rjsRm8YhcT6Ieg4]
[(12.95902, 77.53876600000001)],[ChIJR31LqnQ-rjsR58U9W5T-UGo]
[(12.9634348, 77.5204784)],[ChIJR-dKXn8-rjsRj8XkuBJPPpY]
[(12.96712, 77.57220400000006)],[ChIJP6Zv7AcWrjsRUsX-Q0yMEKY]
[(12.960997, 77.52567879999992)],[ChIJETBGs3k-rjsRScV8PYGozm0]
[(12.982547, 77.60600099999999)],[ChIJ4cCpXGIWrjsRqMSXld7nfYU]
[(12.9562528, 77.55832229999999)],[ChIJI1NUBQM-rjsRn8SkcaGl_hw]
[(12.9627252, 77.55882020000001)],[ChIJIQ8__gA-rjsRGMTrQYsoUTg]
[(12.9657473, 77.6012915)],[ChIJSRkIbtYVrjsRmML3NqsJe7k]
[(12.9636318, 77.52607979999993)],[ChIJb63JdHg-rjsRrsGOpcRH7EY]
[(12.970677, 77.56067699999994)],[ChIJGShVSP89rjsRoMGw5pj1C9w]
[(12.9663094, 77.5713025)],[ChIJX5SXiAcWrjsRScGtgdKEjA8]
[(12.9645431, 77.55169760000001)],[ChIJVfha8gc-rjsRHMD5FwnBc4w]
[(12.9615554, 77.59745670000007)],[ChIJnU2QtNAVrjsRAcBCrLC6LH8]
[(12.968342, 77.53459199999998)],[ChIJGc-zwd49rjsRiL80dpnHP2E]
[(12.9571069, 77.5322251)],[ChIJZaL-aXE-rjsRVr--TISX1kY]
[(12.979087, 77.57544200000007)],[ChIJ9Se8RxAWrjsR3b6vhFP5zjw]
[(12.9684739, 77.52442459999997)],[ChIJD_o-2dY9rjsR_7v5Y2PYoqk]
[(12.9769268, 77.53554099999997)],[ChIJkazoIsM9rjsR-Lu4XVbAV_Y]
[(12.9646917, 77.53283829999998)],[ChIJQ-aSrtg9rjsRirvUS6ze1WU]
[(12.9574823, 77.53366510000001)],[ChIJTTqp5nM-rjsRqboN7XYNhBs]
[(12.9533583, 77.55188410000005)],[ChIJEcYltho-rjsRMLlrZXOgwr0]
[(12.9631433, 77.57750829999998)],[ChIJYRePtuMVrjsRa7jixftCAu4]
[(12.9687729, 77.56796689999999)],[ChIJ2Y3x1QYWrjsRpLbVnBgDH1Y]
[(12.9786571, 77.52532640000004)],[ChIJ-09JBc89rjsR7bXiecU8sYg]
[(12.9503512, 77.60216700000001)],[ChIJT4JB_ssVrjsRDbMHUkVLnfc]
[(12.9638132, 77.59371839999994)],[ChIJud4eqdkVrjsRVbJ17SJ9_h4]
[(12.96701, 77.572499)],[ChIJF3lV7gcWrjsRYK_ryLEV0lw]
[(12.9595967, 77.59540820000007)],[ChIJZfwFb9oVrjsRzq5NfwTYB5Y]
[(12.95241, 77.5956473)],[ChIJWXf4j8UVrjsRX67zxo9XBDQ]
[(12.967019, 77.59189100000003)],[ChIJg7R6oNgVrjsRNa7NLX3BpSg]
[(12.98272, 77.53090599999996)],[ChIJN56w88Y9rjsRJa6neoMaFv0]
[(12.9646535, 77.53072369999995)],[ChIJ_Sdjhtg9rjsRfqzCbkTsJ0Y]
[(12.957575, 77.52146800000003)],[ChIJZX2fBnw-rjsRrKt7uDUFXF0]
[(12.9755576, 77.5603317)],[ChIJF_OnP_g9rjsRoah__R-9nfc]
[(12.9632155, 77.54866549999997)],[ChIJ5Y-pRgg-rjsRwqYMQj90nLQ]
[(12.982436, 77.52896099999998)],[ChIJPVv3P8Y9rjsR6qLfOz1oT6c]
[(12.96082, 77.54973300000006)],[ChIJoZT7lwg-rjsRfaIQSsI4Yzc]
[(12.9687758, 77.57013610000001)],[ChIJaSENAgcWrjsRe6KaP4xuyEY]
[(12.9615417, 77.59746710000002)],[ChIJb_05sdAVrjsRWKKCYsFqPV4]
[(12.9766729, 77.52401520000001)],[ChIJA5FiSM49rjsRB6ISWCOhovE]
[(12.9656383, 77.56724370000006)],[ChIJG77GA_4VrjsRCqFYd5Kjhxw]
[(12.9703915, 77.53098120000004)],[ChIJ49lJ0Ns9rjsRn59W1aKwc5w]
[(12.9669047, 77.52509680000003)],[ChIJ6wdyPdE9rjsRLJ-Ql1Ne8Ck]
[(12.954014, 77.581008)],[ChIJDQifk-gVrjsRI5_jLjFs0gE]
[(12.9701327, 77.5518988)],[ChIJl1Omovw9rjsRQZ4Zfq4wOb4]
[(12.970575, 77.56190700000002)],[ChIJS6n5V_89rjsRsZ1mXPIV8uc]
[(12.957411, 77.55911700000001)],[ChIJQ-xPUwI-rjsRDZ3wID4KJ5c]
[(12.958664, 77.55682839999997)],[ChIJwXyL8QM-rjsRSpxa6Un4Y1A]
[(12.9588667, 77.52365540000005)],[ChIJMcBab3k-rjsRaZvN-0b_5tQ]
[(12.9545789, 77.54782079999995)],[ChIJ17NbzA8-rjsRR5tgdwTH_s0]
[(12.960255, 77.58870300000001)],[ChIJaajDO9wVrjsRPpokJfw95NU]
[(12.96014, 77.56916000000001)],[ChIJ2YUni_sVrjsRO5rf2y87mcE]
[(12.9540757, 77.52396249999993)],[ChIJiwCAF3s-rjsR55jtEXkR76Y]
[(12.9745892, 77.53077170000006)],[ChIJwYLYJds9rjsRdZgU4gVGcrU]
[(12.9524365, 77.52280350000001)],[ChIJi0C1THs-rjsRZpjfwc5QdrA]
[(12.9628052, 77.59025840000004)],[ChIJH24cyt4VrjsRGpgvDLcjRwc]
[(12.969883, 77.55458049999993)],[ChIJwcWBa_w9rjsRg5WxpQcsc38]
[(12.9653809, 77.56701709999993)],[ChIJt87EBP4VrjsRHZXCw5xI_DQ]
[(12.951583, 77.52548300000001)],[ChIJNTtAO2U-rjsRypQ17YRX04c]
[(12.9784247, 77.53616970000007)],[ChIJE7oIAMM9rjsR35NCxufllzc]
[(12.954868, 77.58280400000001)],[ChIJP8aUcOgVrjsRtpKGiLl3E3I]
[(12.964599, 77.55422199999998)],[ChIJ3dx2ZQc-rjsRDZJ7yg9Jr84]
[(12.930315, 77.62300000000005)],[ChIJv8Byx1sUrjsR-uTHAT4RwTM]
[(12.935239, 77.60839599999997)],[ChIJk7_iLvgUrjsRAWX4-VV5ToE]
[(12.998275, 77.55278999999996)],[ChIJb5YNm489rjsRC9I-qtTwBEU]
[(12.933303, 77.62358300000005)],[ChIJL2fDDlsUrjsRZlPqCKWCDYg]
[(12.9911646, 77.5711781)],[ChIJ4d5tAyMWrjsRKoo62KYAHsQ]
[(12.908448, 77.632387)],[ChIJK2JfFJMUrjsRq_YLN9JU440]
[(12.9259834, 77.67598459999999)],[ChIJWyQXs3UTrjsRpI4GmA4RL38]
[(12.9623615, 77.64270050000005)],[ChIJ36n9s7MWrjsRUvumz68f6qc]
[(12.9780488, 77.638736)],[ChIJCTV7-aQWrjsR7CN6XvOfPrM]
[(12.922462, 77.66832899999997)],[ChIJGXiBF0UUrjsRb8SjxBi0rf4]
[(12.9402175, 77.61984050000001)],[ChIJES_mB0YUrjsRIGWzkcPRnH4]
[(12.92291, 77.58790079999994)],[ChIJV-3BwqgWrjsRReJOmJVqfqc]
[(12.9915079, 77.57045829999993)],[ChIJaWgd6TMWrjsRswOvhUua2Cw]
[(12.914775, 77.59487899999999)],[ChIJO3IqFQ8VrjsRp-FhbBRwZQU]
[(12.958306, 77.63594899999998)],[ChIJpVVVeRwUrjsRHQUyt58MS9A]
[(12.9908677, 77.55782909999994)],[ChIJwcmGoIs9rjsRXaKEXCdX1FU]
[(12.934777, 77.61697200000003)],[ChIJK8BZqFsUrjsRJFKFMtUVJBY]
[(12.943898, 77.59848)],[ChIJbYyXNhwUrjsRv4oXg82Mw4c]
[(12.9148979, 77.61267069999997)],[ChIJ4e_nrv0UrjsR3w4O87i2rMI]
[(12.9336449, 77.61561259999996)],[ChIJK8BZqFsUrjsRB_5xDxuQsRE]
[(12.933682, 77.62154099999998)],[ChIJ64UD21oUrjsRT-9mV-Hv3cY]
[(12.9621021, 77.64894780000009)],[ChIJw_87L_gTrjsRci_EfkC1GXU]
[(12.956442, 77.73155500000007)],[ChIJuwOiGAoSrjsRS3-SAXPmCWM]
[(12.9262099, 77.58196729999997)],[ChIJ-ybz2J4VrjsRoYzWkx7zHM4]
[(12.9171033, 77.59705589999999)],[ChIJ-8l7O5YVrjsRex2vseafbRM]
[(12.985798, 77.66883380000002)],[ChIJ529bREQRrjsRw4EjSlWtyGc]
[(12.959536, 77.72012800000005)],[ChIJfReOBT0SrjsR-LUbiM33kpk]
[(12.9247954, 77.55055649999997)],[ChIJiZJ--S0-rjsRA75Zn-E_a1Y]
[(12.930866, 77.6246109)],[ChIJK8BZqFsUrjsRsSMJQsa7rGU]
[(12.921851, 77.67200200000002)],[ChIJ5a1-R3QTrjsRi2KQE1oYmQo]
[(13.0100189, 77.65723819999994)],[ChIJhwjpiCsRrjsReaauuTaA4F8]
[(12.906878, 77.59994000000006)],[ChIJc3YryBsVrjsRV4bpFBk91hQ]
[(12.997783, 77.54641700000002)],[ChIJo4V-kZA9rjsR_UhWmzzf6os]
[(12.98815, 77.61923300000001)],[ChIJq6qq2pEWrjsRoXtU2fx1XsE]
[(12.936671, 77.62030600000003)],[ChIJf0LGbUUUrjsRPKdAjsjJvhU]
[(12.9958903, 77.574475)],[ChIJiyqkIJM9rjsRusbnlu69BcY]
[(12.958568, 77.74662000000001)],[ChIJ04ZOX_YNrjsR1LlqfkQkITw]
[(12.977843, 77.641977)],[ChIJEwAAwNI8rjsR-w4H70xLVWE]
[(12.9703278, 77.63213689999998)],[ChIJXaL7P6AWrjsR1ATWAMIGmJY]
[(12.936505, 77.61449700000003)],[ChIJAcO3ZU4UrjsRtDfXglPPyUw]
