[(12.910658, 77.58640300000002)],[ChIJjR2wWQ0VrjsRbQLxeh_F_jI]
[(12.891286, 77.59848699999998)],[ChIJYf8q_SQVrjsRTzbAjORrw2g]
[(12.9859796, 77.66915689999996)],[ChIJmwV8QUQRrjsRlw3bidq0gHo]
[(13.022258, 77.59217000000001)],[ChIJmUbplLAXrjsRDeYyaHMIDIU]
[(12.9105432, 77.56683299999997)],[ChIJcccNhnwVrjsR3_gJv1QqBGg]
[(12.942821, 77.58440900000005)],[ChIJPXkPuJUVrjsRqHq5tsxcHYY]
[(12.8223881, 77.68633419999992)],[ChIJJzioGkVsrjsRAaC2Z-FKVm0]
[(12.9930181, 77.68814729999997)],[ChIJ85qsoXIRrjsRiNGQJn7Y-wU]
[(12.9556678, 77.71967459999996)],[ChIJixz6fD4SrjsRx-2_9uvzw3I]
[(12.98995, 77.70534499999997)],[ChIJY82oU5kRrjsR8-Itil_Vq68]
[(12.958959, 77.70096899999999)],[ChIJQX8lWTESrjsR9NcurQK743c]
[(13.049412, 77.60261600000001)],[ChIJCf9ZeIMXrjsRHdbjmcxkXxw]
[(12.9170905, 77.59265060000007)],[ChIJy3LoOgkVrjsRytXW70QBOrc]
[(12.9053183, 77.61237460000007)],[ChIJbYCRXOEUrjsRAM6SiSDDzaQ]
[(12.8899958, 77.60011020000002)],[ChIJ5dRQvCUVrjsRlcp6-2blf4o]
[(13.015886, 77.63941899999998)],[ChIJA3O9nycXrjsRBMg5IKdHoFU]
[(12.889933, 77.60019399999999)],[ChIJEyDJvSUVrjsRdakMpypaiME]
[(12.9257573, 77.61754859999996)],[ChIJdZLgoFcUrjsR1plX7kVjVUI]
[(12.9399283, 77.56532190000007)],[ChIJ89bdrosVrjsRgpin3usgm2s]
[(12.860087, 77.72584000000006)],[ChIJI30bemptrjsRG5ZLOJ6ju1w]
[(12.922524, 77.51751200000001)],[ChIJa1VVlVU-rjsROJOv9xz-NbE]
[(12.9525453, 77.70596760000001)],[ChIJV7EeYzYSrjsRnZE_KBwg_iw]
[(12.92881, 77.63553100000001)],[ChIJwR2gRWEUrjsRposn5Ibx5dA]
[(12.9040146, 77.63009920000002)],[ChIJo1ZHKOsUrjsRDoIh7zKbrQA]
[(13.043843, 77.62371899999994)],[ChIJLx-AwW4XrjsRJn0xL1Exv9g]
[(13.0497259, 77.64532480000003)],[ChIJj6gy0E8XrjsR-HCNctxk0_c]
[(12.887971, 77.63991399999998)],[ChIJfRK1UbAUrjsR8mnK4OaJqqI]
[(12.9571269, 77.70879489999993)],[ChIJw18e6DASrjsR5mZ9Q5ib-08]
[(12.900656, 77.65983400000005)],[ChIJv9Ci210TrjsRr2VcT94UcRs]
[(12.9927146, 77.66394079999998)],[ChIJLeA4GUgRrjsRKWUbm3txoeU]
[(12.923683, 77.64721699999996)],[ChIJtzqQT4cUrjsRO12ZuVs51nU]
[(13.0047786, 77.62159729999996)],[ChIJ_89dBOUWrjsRs1VLwSKkb-I]
[(12.902732, 77.51963180000007)],[ChIJeTgx3aY_rjsRxVTE80ZT_o0]
[(12.934386, 77.61991699999999)],[ChIJ2YFlrVoUrjsRlVCyL6RaQ-4]
[(12.9556678, 77.71967459999996)],[ChIJixz6fD4SrjsRYE-0p8J3p7Q]
[(12.982472, 77.76683300000002)],[ChIJjxBIQj0OrjsRhD3hpHE0Spo]
[(12.9724185, 77.63817070000005)],[ChIJHVxF4aYWrjsRNywfrImug2U]
[(12.9348589, 77.57395159999999)],[ChIJX4_KLZAVrjsRCSgbSpPzYeY]
[(12.900637, 77.588615)],[ChIJlc0LvRUVrjsRRxMxCGn74Yw]
[(12.863402, 77.77119700000003)],[ChIJY8SWzcFyrjsRhAAzzQ6xEOc]
[(13.063455, 77.59108400000002)],[ChIJCdp0AyQYrjsROP3mx9XPWXQ]
[(13.073295, 77.56687699999998)],[ChIJSfui4gsYrjsRpMevMp6XRTU]
[(13.062854, 77.59120299999995)],[ChIJ84PBqCYYrjsRwbFAxBze8fs]
[(13.2010143, 77.70977249999999)],[ChIJY3l7wwIdrjsRzQd46He_F0g]
[(13.0996355, 77.59745240000007)],[ChIJDRZsmV0YrjsR5fcyaq8eX7Y]
[(13.095915, 77.597756)],[ChIJLyRNlVAYrjsRH1IQwQozXwQ]
[(13.0834438, 77.4843406)],[ChIJTU1aqm8jrjsRpHL6xG96-2Y]
