[(13.011675, 77.64694299999996)],[ChIJkTfDjtYWrjsR94O-uWYk-hs]
[(13.0416928, 77.59472870000002)],[ChIJnyQnx5AXrjsRn3Q8g0cFy-Y]
[(12.9745549, 77.63010600000007)],[ChIJMz0zrZgWrjsRCmJKURfYsaA]
[(13.0006351, 77.61280420000003)],[ChIJ345dyvAWrjsRl0-Z-fgL6KM]
[(13.0004573, 77.66211610000005)],[ChIJ47kKHjERrjsRIEMb5AFUXoU]
[(13.0103297, 77.64969050000002)],[ChIJZTmDbtQWrjsR8T_OXTa4Qjk]
[(12.993247, 77.71704399999999)],[ChIJwTlo0ZURrjsRfz5MDxGgHMw]
[(13.021659, 77.6428247)],[ChIJ_0ElXS8XrjsRZD79sRiV2pg]
[(12.931223, 77.56714699999998)],[ChIJXYJ3D4YVrjsR7jsfj-DLpGE]
[(12.9350001, 77.57519109999998)],[ChIJz2aAS5AVrjsR0DRvxEv-z4Q]
[(12.9307997, 77.68532349999998)],[ChIJMTn8YKYTrjsRfjLKBiVCt0A]
[(13.033219, 77.6377)],[ChIJlcDVPTkXrjsRVSy4xavN988]
[(12.995703, 77.53568599999994)],[ChIJ3-Of-bw9rjsR0h38KHkIA3s]
[(12.9277578, 77.59331580000003)],[ChIJq4P9KqQVrjsRHR0sMnxS91w]
[(12.9162517, 77.67153200000007)],[ChIJKVExO3ITrjsRzxqCKNh-Zdo]
[(12.91878, 77.595595)],[ChIJt-VgjwgVrjsRCBmXJi37AZI]
[(12.9775218, 77.65868290000003)],[ChIJdxvZ3FMRrjsRXhVWbXx6M6c]
[(12.978322, 77.67982800000004)],[ChIJ86r03WYRrjsRUhJFi7PTXnI]
[(13.03088, 77.631528)],[ChIJP1pr4z0XrjsRnRELczHUxQE]
[(12.950126, 77.72071099999994)],[ChIJYZQHc0ASrjsRWA0BziihKcc]
[(12.9585962, 77.65667589999998)],[ChIJsc-7ffcTrjsRfAz0c3K6jUg]
[(13.017327, 77.66513299999997)],[ChIJ16xuINgQrjsRlAYysJihh28]
[(12.9121158, 77.63815060000002)],[ChIJ_Ui33JEUrjsRqAUN1ex63zY]
[(12.905999, 77.60490500000003)],[ChIJpQEQMxsVrjsRYSkaOkB1vzY]
[(12.8402297, 77.64991269999996)],[ChIJI_5qJXxrrjsRTr3QZAOf5xE]
[(12.852845, 77.66766499999994)],[ChIJzwELJZdsrjsRuP9jxZ4_dqs]
[(12.911014, 77.57631100000003)],[ChIJu2Nc8XEVrjsRX8KqRc-jDoI]
[(12.971087, 77.76801699999999)],[ChIJqWd7oOANrjsR8mAVi-oUqDM]
[(12.910364, 77.632563)],[ChIJQzPy5ZIUrjsR70B3YeclPp0]
[(12.892007, 77.58732499999996)],[ChIJC5z33TgVrjsRmRHxGrZ5apA]
[(12.9058242, 77.60409060000006)],[ChIJh1JpJhwVrjsR8Afp-474iYU]
[(13.0081445, 77.75789110000005)],[ChIJJ-fevDoOrjsR9Zf0_qKqT4c]
[(12.8820943, 77.62529339999992)],[ChIJv8ZIicsUrjsR_g1ON1ZTL8A]
[(13.075674, 77.52446599999996)],[ChIJeZ_xnt0irjsRR4xTlyTz1GM]
[(12.8769697, 77.58410609999999)],[ChIJtZ0asEoVrjsR8-35Hh04lfE]
[(12.8410011, 77.69452750000005)],[ChIJKZomuv5srjsRjoXU671HoIo]
[(12.8009866, 77.71184659999994)],[ChIJ2wopktptrjsRZ_6tPpw2oNo]
[(13.0548609, 77.63178169999992)],[ChIJu4wBFF4XrjsRNfhnLEB5fvA]
[(13.0552489, 77.60341930000004)],[ChIJoTL034AXrjsRCOtlyWkH2zQ]
[(12.910136, 77.57176400000003)],[ChIJaYz9yHoVrjsRYuAAFvlOeLo]
[(13.0663746, 77.50525549999998)],[ChIJJ7q0MCUjrjsROtS_r7ORBVU]
[(13.1154175, 77.3896181)],[ChIJi-3FVI0lrjsRkcecSAoYtnc]
[(12.886069, 77.55744099999993)],[ChIJu_dJtPw_rjsRm7woS5kH2UY]
[(13.216984, 77.65106679999997)],[ChIJY0kNHHUerjsR8q-6ohnWk9g]
[(12.8879292, 77.62128080000002)],[ChIJ6_9lvc8UrjsR9qGNDqiR1pQ]
[(12.863304, 77.77132189999998)],[ChIJbbD_0cFyrjsRFIpdg3XPI3s]
[(12.8759052, 77.59599159999993)],[ChIJa9hdWc1qrjsRVHsRY9LRQ3Y]
[(12.91107, 77.57631200000003)],[ChIJdQSTynEVrjsRYnHQEtqYC4I]
[(12.835409, 77.68343200000004)],[ChIJn1e5o1hsrjsRSXB-W0pIlFc]
[(13.0600298, 77.56094459999997)],[ChIJazJmbKoirjsRkGGrxLXRnts]
[(13.0972252, 77.58830850000004)],[ChIJ8zdwg14YrjsRD1Nkaf39y3o]
[(12.9088259, 77.69281030000002)],[ChIJt_SsRRkTrjsRdD5vJIR3uKE]
[(13.0544817, 77.57084689999999)],[ChIJtZSRWfgXrjsR2T1nJsWZkhw]
[(12.7956446, 77.65981450000004)],[ChIJE0A7BARsrjsRii0dBxFincw]
[(12.8790802, 77.63332489999993)],[ChIJRXdzKbUUrjsRaRvMeH5C0gs]
[(12.8966512, 77.63469729999997)],[ChIJ36W9xr4UrjsRKxvi9BVdphM]
[(12.8805222, 77.62437640000007)],[ChIJz6YJhcwUrjsRPBLv8EBKHPY]
[(12.904389, 77.585644)],[ChIJQ0OIuRIVrjsR-gg2UE61B-8]
[(13.055034, 77.58021299999996)],[ChIJhZqCxvUXrjsRAwaKCtYYqro]
[(13.0958589, 77.59763180000004)],[ChIJb0ESlVAYrjsRBQF3wXMm9DE]
[(12.7290881, 77.84048200000007)],[ChIJ7c6qaUp3rjsRDbEVUMM3-zk]
[(12.7199712, 77.81997350000006)],[ChIJl-VxZLtwrjsR_ZIerlQRTvE]
