[(12.9689839, 77.57934380000006)],[ChIJu2sDwwsWrjsRpFTfr_TrweY]
[(12.971167, 77.58028300000001)],[ChIJu2sDwwsWrjsRNm1hcVT_yMs]
[(12.9756838, 77.6031726)],[ChIJcftmuH0WrjsRcZzrHG6-Bgw]
[(12.9506989, 77.57948590000001)],[ChIJ-T06SekVrjsRqjUEfagvbN8]
[(12.9622665, 77.57591500000001)],[ChIJBduWzZoVrjsR0HggKBYURUU]
[(12.9725639, 77.60797939999998)],[ChIJnWXkpoAWrjsRm9EPCOdlhWs]
[(12.9653468, 77.5774083)],[ChIJ7UIjiwsWrjsRwTwsLxSIrIY]
[(12.968702, 77.57901420000007)],[ChIJu2sDwwsWrjsRDNgq_i2AVHI]
[(12.9739502, 77.57948950000002)],[ChIJVVVVhVkYrjsR_nd5dF27Jiw]
[(12.975617, 77.57846700000005)],[ChIJz4nFWjcSrjsRkDAq1spucrg]
[(12.968835, 77.57813199999998)],[ChIJLU6lP4cWrjsR9_ne6f5sxyU]
[(12.972417, 77.58108300000004)],[ChIJo6fkdgwWrjsR6CVCKBEmWBc]
[(12.982761, 77.55692099999999)],[ChIJbbA6uO89rjsRAjbCL21_h1s]
[(12.9662113, 77.57767719999993)],[ChIJu2sDwwsWrjsRZlk_FIMfUKg]
[(12.9688101, 77.57901370000002)],[ChIJg3MKwAsWrjsRqjtSPM5a4n8]
[(12.967985, 77.57862799999998)],[ChIJu2sDwwsWrjsRdOb2d2QRDHU]
[(12.962553, 77.61116300000003)],[ChIJMT36hisUrjsR_8MDb8e8c1w]
[(12.980076, 77.59512700000005)],[ChIJf7tDsp-4qjsR8brSebhx_Zs]
[(12.9697553, 77.5758783)],[ChIJwVZo-wgWrjsRgdyC2i150rI]
[(12.958683, 77.53551700000003)],[ChIJH9f0h3M-rjsRbV0T46iuz4o]
[(12.9677182, 77.57873810000001)],[ChIJl3Jl8wkWrjsR-otGzQQtOas]
[(12.971343, 77.58025900000007)],[ChIJ8ydI6gsWrjsR9G8ber-mHJQ]
[(12.966617, 77.57786699999997)],[ChIJbw7j4AkWrjsRJRVbF90ktKE]
[(12.968702, 77.57901420000007)],[ChIJu2sDwwsWrjsRbdqz_FzSglM]
[(12.970876, 77.58011190000002)],[ChIJvfmi6QsWrjsRHAHYikG81z8]
[(12.9693232, 77.57632690000003)],[ChIJnWYPAAkWrjsRdF7xA_QmwJs]
[(12.97205, 77.58086700000001)],[ChIJj50wigsWrjsRbY3fiTJyrUE]
[(12.967517, 77.523867)],[ChIJTeoM79Y9rjsRAVd59cYmdY4]
[(12.9696792, 77.57961939999996)],[ChIJb3uE2gsWrjsRlACm1XYlhbE]
[(12.9760648, 77.60102759999995)],[ChIJn1zjeXsWrjsRd-4QKJ9qP3M]
[(12.9715987, 77.59456269999998)],[ChIJbwhPnA4WrjsRY3cx_ThicTk]
[(12.9748, 77.60571700000003)],[ChIJs_kKuH0WrjsRmHpXhS2PRpI]
[(12.95685, 77.58112000000006)],[ChIJE8R9PncWrjsRN7fNvlg-GG0]
[(12.9589031, 77.54899120000005)],[ChIJfZO25g0-rjsRx-rYjhJ1Yrg]
[(12.9696368, 77.60561229999996)],[ChIJC5Cwo34WrjsRMJlhyz1aUHs]
[(12.9806791, 77.57909110000003)],[ChIJDfpvhyYWrjsRuYMQk5FMLa4]
[(12.953305, 77.58006899999998)],[ChIJDdCMnQUWrjsRY-H5OlaCqIc]
[(12.969013, 77.57980599999996)],[ChIJu2sDwwsWrjsRBzD_ntljKCs]
[(12.9719312, 77.59479439999996)],[ChIJIXbpOHcWrjsRkWFlXWnyxLc]
[(12.967517, 77.54122400000006)],[ChIJXSctq-E9rjsRXX3WQrhj3X0]
[(12.9711787, 77.58029399999998)],[ChIJk2oV7AsWrjsRaSgsjMZonhM]
[(12.970142, 77.58014200000002)],[ChIJ7fuNxAsWrjsRtuyY7DcLqMU]
[(12.967894, 77.61188500000003)],[ChIJqRqmdSoUrjsRog0UYp8U3gY]
[(12.9646131, 77.57902769999998)],[ChIJl045J-IVrjsRVhvgT6XQ7V4]
[(12.981333, 77.61148300000002)],[ChIJE8R9PncWrjsRB7ICWNezqZk]
[(12.971583, 77.570333)],[ChIJ3S6j9AYWrjsR11NCSjCh884]
[(12.9676564, 77.57789170000001)],[ChIJS1EC6wkWrjsR78rPs2AF-r0]
[(12.966283, 77.57888300000002)],[ChIJv8vmAOIVrjsRF5-P944_4cg]
[(12.9645749, 77.57711549999999)],[ChIJuSpeQ-IVrjsR5Y54N6bNRpU]
[(12.9672505, 77.59939020000002)],[ChIJezZqpYAWrjsRqI0xGxNnznU]
