[(12.972733, 77.56151699999998)],[ChIJE0u5mPg9rjsR7doeC4fCHFQ]
[(12.9756145, 77.59346210000001)],[ChIJVVVVVXAWrjsRCiYEA4itRio]
[(12.974017, 77.60151700000006)],[ChIJO-UQI3kWrjsR19z-D1yPazw]
[(12.9713663, 77.58692080000003)],[ChIJrZ1vnHQWrjsREEayZ-2W5KI]
[(12.9703719, 77.61025970000003)],[ChIJySGqU4AWrjsRfgvLAXCwqvU]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRHgDOK5s8rEs]
[(12.976126, 77.53239099999996)],[ChIJ2xg1sMQ9rjsRhZQJubbvXd0]
[(12.9570479, 77.5407219)],[ChIJGW4h6Qw-rjsRfP5DQPZ_j9E]
[(12.9589925, 77.60066010000003)],[ChIJ59r7n9EVrjsRwPn1mYpRJCk]
[(12.9729919, 77.5702695)],[ChIJ3QvANQQWrjsREvgmFti2CGk]
[(12.9637099, 77.5347792)],[ChIJATuq8nU-rjsRs_COXVfylNk]
[(12.9549517, 77.56832559999998)],[ChIJnZAOBvoVrjsRtutu17bXi-8]
[(12.9654295, 77.61047660000008)],[ChIJfzt6rCsUrjsRCOjngS5VnQs]
[(12.9685213, 77.5349486)],[ChIJu_QGntg9rjsR9OSk7zxmRS4]
[(12.980072, 77.58610640000006)],[ChIJjdL8PG0WrjsRpuS4wHwYGeg]
[(12.953482, 77.54069700000002)],[ChIJdbKoYQ0-rjsREtuagZfKKrc]
[(12.9715987, 77.59456269999998)],[ChIJIyAH3dYVrjsRPNa3nj5eNKY]
[(12.9708816, 77.53672419999998)],[ChIJp2awz909rjsRrNROjhglPys]
[(12.963921, 77.59128850000002)],[ChIJnanPknUWrjsRP9ETpkSJ6bw]
[(12.9679958, 77.59166049999999)],[ChIJdXUzEXYWrjsRZs-ynSJ_0lU]
[(12.9710227, 77.54270689999998)],[ChIJ2RyMz-Y9rjsRtcYkLiGc-IQ]
[(12.9613215, 77.56088550000004)],[ChIJ22P-6QE-rjsRWrwuNGpx5rM]
[(12.968192, 77.60177299999998)],[ChIJHbrtrXgWrjsROLjB5BPw6cs]
[(12.95799, 77.59241199999997)],[ChIJeaQMDtsVrjsRCq6l_UZmc-4]
[(12.9717236, 77.5373237)],[ChIJ8aDlvt09rjsR8KjwphUKUV4]
[(12.9749311, 77.58121549999998)],[ChIJZwBnTQwWrjsR_KPUjpPNljI]
[(12.955947, 77.54858300000001)],[ChIJa64ClA8-rjsRXZt-oqVKxmo]
[(12.974559, 77.58941200000004)],[ChIJiwFcxnMWrjsRwYxzVezWvrI]
[(12.9671893, 77.54266600000005)],[ChIJaT0MpuE9rjsRiIkmm8u8m68]
[(12.9567681, 77.53066509999996)],[ChIJ5UGUHnE-rjsR-XlpKFzBUOg]
[(12.9657393, 77.52322630000003)],[ChIJg4mKZ9Y9rjsRd2h6QZKonzw]
[(12.9652776, 77.61029180000003)],[ChIJrf7V_SoUrjsRnGKKuSu8rhc]
[(12.964689, 77.59711600000003)],[ChIJmRjcnNcVrjsRaFilE5h89XE]
[(12.9769337, 77.57881750000001)],[ChIJVWrICA4WrjsR2VdB6NN6QdA]
[(12.968768, 77.52469799999994)],[ChIJdbsAKNc9rjsRe1Z1lC2GzOQ]
[(12.982342, 77.61293599999999)],[ChIJK3JQKIkWrjsRLkPY86_fqIg]
[(12.9734196, 77.60793949999993)],[ChIJUfbbqoAWrjsRcj1rp6Lt1lM]
[(12.964771, 77.59645899999998)],[ChIJydw3gdcVrjsRLTpp63dAonM]
[(12.9692345, 77.536518)],[ChIJ7fqeZN49rjsR5zdckUpQOf8]
[(12.9555732, 77.55795250000006)],[ChIJm4nwFQM-rjsRPSzRcrFin0E]
[(12.9820445, 77.56022400000006)],[ChIJPd3Bc_Y9rjsR_hoUac1SyaQ]
[(12.9821803, 77.55408109999996)],[ChIJFdOrYvE9rjsRZRSnH5PA1Dw]
[(12.9669733, 77.53552860000002)],[ChIJK-xvA989rjsRCAiU3W_9xU8]
[(12.9645933, 77.59711519999996)],[ChIJm8A-ndcVrjsRhwAexgfM-kM]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRXlc1YL-klI4]
[(12.9644018, 77.58813209999994)],[ChIJOSX4A98VrjsRCc4XlpFkn10]
[(12.971726, 77.53183480000007)],[ChIJB1EvZt09rjsRmA0fBTvcHWo]
[(12.9815536, 77.55549350000001)],[ChIJ____3DM8rjsRsz25Y06Ko9U]
[(12.9547691, 77.60062449999998)],[ChIJ____P84VrjsRc96f6H5SdjI]
[(12.9644377, 77.5427383)],[ChIJoVUOdwo-rjsRx8QSioz8ZQ0]
[(12.973268, 77.54576329999998)],[ChIJg51F8-A9rjsRdwcTlGG3yMI]
[(12.9705013, 77.58638399999995)],[ChIJ9dpTfWMWrjsR4ylLVcoyxDs]
[(12.9743135, 77.54252059999999)],[ChIJOb9TQuY9rjsR4vTmGrkM_t8]
[(12.9658365, 77.57626170000003)],[ChIJcVdih-IVrjsRWs5kQZl7Ltg]
[(12.9821493, 77.54934800000001)],[ChIJiat34e09rjsRUipFZqoq2QE]
[(12.9715987, 77.59456269999998)],[ChIJyeOQbowUrjsRBwVBosvgupM]
[(12.9506743, 77.59608079999998)],[ChIJC0DG2ccVrjsR8RPvPs1J0PM]
[(12.9721916, 77.57351340000002)],[ChIJAfC4-AUWrjsRePAv-yF-KXs]
[(12.967841, 77.57197300000007)],[ChIJVVVVlQcWrjsRXHqeGW8iWBw]
[(12.9549889, 77.57430260000001)],[ChIJJ3KKWOUVrjsR3fDpKEAtW9g]
[(12.958253, 77.535033)],[ChIJK1zzi3M-rjsRuxVZnVSScek]
[(12.957453, 77.52762200000006)],[ChIJUS2Zp3A-rjsRMu-OOu8hYv4]
[(12.9649133, 77.59570229999997)],[ChIJE6aAOtgVrjsRGpkVud9i1vE]
[(12.9550739, 77.61207660000002)],[ChIJL3KeQDIUrjsREjEdbPKCueQ]
[(12.9698858, 77.53327960000001)],[ChIJVVVVVdk9rjsR-mwQjJclPoI]
[(12.9661549, 77.606266)],[ChIJc7idFdUVrjsRi4fSZg47EVs]
[(12.9817723, 77.55487629999993)],[ChIJKx68VHUVrjsRP7RTjeOIvdw]
[(12.9532, 77.57155)],[ChIJL2gzQvAVrjsRP5mxLi11Cc4]
[(12.9745632, 77.53903779999996)],[ChIJHYSB9ec9rjsRI1bpWU46YN8]
[(12.974535, 77.56373310000004)],[ChIJdVDU5QIWrjsR20hQ1S9isIs]
[(12.9804285, 77.60341229999995)],[ChIJAQAAwJIVrjsRhNFMLfXrInw]
[(12.9661659, 77.55495610000003)],[ChIJcYW47f09rjsRfwAoKFmtuAQ]
[(12.9728857, 77.57048859999998)],[ChIJ6wZ6_gYWrjsR4kOYCw0L-I8]
[(12.960305, 77.57390710000004)],[ChIJs6AJqeQVrjsRjl1GqXWUOYI]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRzsa4630V6Zg]
[(12.982467, 77.53108299999997)],[ChIJPRtOjcY9rjsRs10W-ohTQ2o]
[(12.9601843, 77.53441529999998)],[ChIJUWZvPnQ-rjsRkzzjW8MZyVM]
[(12.9519598, 77.57041809999998)],[ChIJE8R9PncWrjsRpeunBrulVGs]
[(12.9525629, 77.55477700000006)],[ChIJ____Pxs-rjsR_gjGvQRc0n0]
[(12.9705371, 77.52653629999998)],[ChIJeUTru9A9rjsRHQmcCYPmoV4]
[(12.9599989, 77.53152169999998)],[ChIJffOL6XY-rjsRfu13ghfTkfo]
[(12.9570929, 77.56444650000003)],[ChIJP66E-PgVrjsRe-4I1zvwLG0]
[(12.97625, 77.52441699999997)],[ChIJWR4G9s89rjsRGbUO9cPhNlQ]
[(12.9715384, 77.60670099999993)],[ChIJ9wB3_n0WrjsROxfzH5gepKg]
[(12.9741483, 77.53832039999998)],[ChIJB1EvZt09rjsRrj_HUQBvhX4]
[(12.98207, 77.60356999999999)],[ChIJ7_ryoWMWrjsRXYdP086D0vE]
[(12.9578533, 77.56210039999996)],[ChIJlZjUgvgVrjsRQyxTB0DTSO0]
[(12.9772753, 77.60868149999999)],[ChIJYa6eYYcWrjsRPltZGIFg3Bk]
[(12.9574729, 77.51840330000005)],[ChIJvVvW1n0-rjsRd7iWSn8VFwg]
[(12.982688, 77.61256100000003)],[ChIJjcZbJIkWrjsR17y6Ukp-BdM]
[(12.9561065, 77.58149209999999)],[ChIJC-quMeYVrjsRE_BjQ90B3JU]
[(12.9731027, 77.57251539999993)],[ChIJ8f9B9AUWrjsR7DTBa20JXnw]
[(12.974633, 77.53271700000005)],[ChIJNdv9Wts9rjsRcia183Ih9rs]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRJlzkNBfQ2vs]
[(12.9697295, 77.57021429999998)],[ChIJt6GM-QYWrjsR2w7p5cyZh-A]
[(12.9609733, 77.56031800000005)],[ChIJA55olAE-rjsR0s6dHQ04FI8]
[(12.9722781, 77.57687759999999)],[ChIJo4MV0g4WrjsRtjdzmwAoH4U]
[(12.960917, 77.53408300000001)],[ChIJzSu4OnQ-rjsRA8PGq3LYzsU]
[(12.963867, 77.58448299999998)],[ChIJG5BWh-AVrjsRZ-P6g9x42w4]
[(12.9788403, 77.54200200000002)],[ChIJR607AOk9rjsRKX8oyv6fnLg]
[(12.9702012, 77.57342849999998)],[ChIJ64urIQYWrjsRXMvrMWw0nZs]
[(12.9698858, 77.53327960000001)],[ChIJVVVVVdk9rjsRRGxZoSJXA2I]
[(12.9569717, 77.56388530000004)],[ChIJV8l33voVrjsR-RPyfd1TYuU]
[(12.9641376, 77.5843241)],[ChIJvZ-IZOAVrjsRzNlP_pb2tA0]
[(12.975453, 77.55219999999997)],[ChIJgQ68lvo9rjsRtT3w43LH2NQ]
[(12.960439, 77.53030899999999)],[ChIJM9mQHXc-rjsRIaPaNQqJsuE]
[(12.959927, 77.59385999999995)],[ChIJy92CSdoVrjsRvsDPHinWTPQ]
[(12.9512169, 77.59531730000003)],[ChIJxRh9JcMVrjsRAn__MujmvuE]
[(12.9713722, 77.54237669999998)],[ChIJYTaG2-Y9rjsRYeLGODGwcdA]
[(12.9806823, 77.55841439999995)],[ChIJ0bER8vY9rjsREHW_0WXjObM]
[(12.9542699, 77.57555400000001)],[ChIJVVVVhe8VrjsRVGRniNC5Mqc]
[(12.978426, 77.54890899999998)],[ChIJbbA6uO89rjsR4bOhh5Kal4w]
[(12.950794, 77.59452039999996)],[ChIJHV1j28UVrjsReJt1HOnAzlI]
[(12.9576758, 77.52720039999997)],[ChIJsyibBXo-rjsRFRAo4JdV9lo]
[(12.964712, 77.57370330000003)],[ChIJ1YoEEwgWrjsRikWlEFiZmyA]
[(12.9805966, 77.57478070000002)],[ChIJ4wA7ixAWrjsR7AqfEAo47pY]
[(12.9716147, 77.59508870000002)],[ChIJE8R9PncWrjsRe2ACYDhAAjU]
[(12.9772753, 77.60868149999999)],[ChIJYa6eYYcWrjsRjiMGwJHmIig]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRYOrOTrWv4G0]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRjRZMmYkFrmg]
[(12.9675011, 77.60812570000007)],[ChIJ0VX_kyoUrjsRGeDnxBZqZ0Y]
[(12.9665725, 77.5778229)],[ChIJ8YWr4QkWrjsRK10kqhW6eqY]
[(12.9809651, 77.61003840000001)],[ChIJ_beZXIgWrjsRsrOb06MIDFg]
[(12.9814977, 77.53439249999997)],[ChIJq6qqGuo9rjsRpolKWdxkNhY]
[(12.9610471, 77.5612999)],[ChIJ-dfo6wE-rjsRB3PPbeAcVKQ]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRZBE5EyFydsg]
[(12.9715987, 77.59456269999998)],[ChIJAQAAAPM9rjsRaDP19g7dvVk]
[(12.9804225, 77.5385751)],[ChIJScSWDsI9rjsR4qqfeP6S-Ps]
[(12.9761861, 77.52609860000007)],[ChIJmW0Jws89rjsR6tzY1SrzfIk]
[(12.9605348, 77.60082569999997)],[ChIJ_cmhiM4VrjsRGT3t5kW17TI]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRWgqeFcT1OJE]
[(12.9709165, 77.55463559999998)],[ChIJD83Pivs9rjsRI0bTcadLI00]
[(12.9394049, 77.594833)],[ChIJT2MFmbAVrjsRaEKMKtCYNS4]
[(12.925325, 77.57729089999998)],[ChIJJ6qaQZwVrjsRE0CM2Evcxz4]
[(13.0112062, 77.55218979999995)],[ChIJ441Kr5I9rjsRm-EYn-cfOhE]
[(12.9595487, 77.51130760000001)],[ChIJ7Y5UPHcWrjsRaWlLJh77AP8]
[(13.0516495, 77.48309489999997)],[ChIJvWHRjrI8rjsRz28yKvUyjA8]
[(12.9225787, 77.61941589999992)],[ChIJ9995MPEUrjsRaJoFa0Ky-28]
[(13.0352882, 77.58993520000001)],[ChIJx-AXKL4XrjsRWMeHhJd27Q4]
[(12.9338489, 77.58403069999997)],[ChIJYTNy5pcVrjsRborpftOTNck]
[(12.9411939, 77.62399630000004)],[ChIJ-4b2-kYUrjsRUUVp0H9kmeo]
[(12.9065056, 77.59593960000007)],[ChIJwxXhohAVrjsRUJMHHy8ViXI]
[(12.9179252, 77.5557622)],[ChIJcQ8nY9M_rjsReB1bICUAFPM]
[(12.9975067, 77.54436720000001)],[ChIJF8V9PncWrjsRxmkA-vq2X0E]
[(13.0509826, 77.59378319999996)],[ChIJ-d2lJo8XrjsRlge4yFlLCpM]
[(12.9959354, 77.60824260000004)],[ChIJa9ALT9E8rjsR2SUkzr1oZvc]
[(12.9811141, 77.72945830000003)],[ChIJ2_9gGvERrjsRpF9wkI8-Y9Y]
[(12.9975774, 77.54579469999999)],[ChIJjYFgYpc9rjsRhCvN00MvCgo]
[(12.9264287, 77.56484590000002)],[ChIJS4ErKocVrjsRPyw50oY9gFY]
[(12.936326, 77.58329959999992)],[ChIJ24dURpYVrjsRhryJfLgBAo8]
[(12.8945311, 77.5989032)],[ChIJEfRVcCMVrjsRJZ6qMWbCCHM]
[(12.949385, 77.59757400000001)],[ChIJraK2uMgVrjsRkZnQmiIiLAc]
[(12.969627, 77.63584800000001)],[ChIJVVVV0ZA9rjsRV6RFv-YkzVU]
[(13.000993, 77.563984)],[ChIJhb0gaCgWrjsRfgsZxHqNSr8]
[(12.941858, 77.56279500000005)],[ChIJ1Z2XmLU9rjsRaJ4NVxa97qM]
[(12.9459472, 77.56747250000001)],[ChIJRyIDgfQVrjsRrm69lNBq-zE]
[(12.996812, 77.58227499999998)],[ChIJy8J04zgWrjsRegYyDNIwXH4]
[(12.9476337, 77.59249810000006)],[ChIJb2Fl5sYVrjsRWV0ANNV1870]
[(12.957132, 77.71283619999997)],[ChIJGbYaOToSrjsR9H67N0eLqV8]
[(13.0207201, 77.67604870000002)],[ChIJSQvhGN4QrjsRV0_nDxPjaq0]
[(12.937739, 77.575514)],[ChIJI2kf-5EVrjsRsIkYeazWBlA]
[(12.9434146, 77.57941430000005)],[ChIJ97gbr5QVrjsRG_Ju3UypFW0]
[(13.0135657, 77.63543609999999)],[ChIJlbP_yyAXrjsRbTBmwshv45A]
[(12.9734582, 77.75107960000003)],[ChIJsbys4f0NrjsRjIs30YTqJ0M]
[(12.9383956, 77.59069679999993)],[ChIJV_lp-LsVrjsRNQnMR2mIb3I]
[(13.0305939, 77.53555210000002)],[ChIJq6qqPj49rjsRTEpZCg-No2M]
[(12.9373181, 77.59201610000002)],[ChIJVVVVEHX5rjsR0nSHYl611zA]
[(12.9979591, 77.54048990000001)],[ChIJjYGjjJc9rjsReHq4HTKdISE]
[(13.0004756, 77.62203720000002)],[ChIJZwTMp-8WrjsR8GhLpZOxIbA]
[(12.9332322, 77.58189549999997)],[ChIJNySFe5cVrjsRhZkR4qvvnBU]
[(12.9459114, 77.57547390000002)],[ChIJQS3Z-uwVrjsRtJ_-0yn4MpE]
[(13.014168, 77.55603599999995)],[ChIJVVVVVSoWrjsRBXAJZI0ibYg]
[(12.9377864, 77.56511980000005)],[ChIJWY9D4IsVrjsRSW_yDR-QMcI]
[(13.028046, 77.56962829999998)],[ChIJh71hd9wXrjsRESMVyb95hl8]
[(12.959624, 77.656789)],[ChIJR_Uk0vkTrjsRiXqz40zLkaA]
[(12.958649, 77.64910299999997)],[ChIJLXD3dvATrjsRwgN8lyd2fSw]
[(12.960951, 77.64833099999998)],[ChIJt6I4ZQYUrjsRQYUlu3aduYQ]
[(13.0157886, 77.56345510000006)],[ChIJnea4wtUXrjsRtKxyQ6yu6JM]
[(13.1077366, 77.57170989999997)],[ChIJx9EC_WAYrjsRPiW-sqPTdds]
[(12.9483309, 77.69955389999996)],[ChIJK8lhNbUTrjsRQHKk36Teyos]
[(12.9706007, 77.64137519999997)],[ChIJG_4kNx0UrjsRx5K-IcXEz0M]
[(12.9882233, 77.59216379999998)],[ChIJQTS66mkWrjsRDaVTOssE4S0]
[(13.072549, 77.503556)],[ChIJe4GL2zwjrjsR0IEkH90dAiA]
[(12.9377091, 77.58041709999998)],[ChIJ8SECdY4VrjsRqpjSw4A9jvE]
[(12.916767, 77.57942600000001)],[ChIJVVVVVQwVrjsRWCj6lTQuvP4]
[(12.9401679, 77.57650139999998)],[ChIJt5EdmJIVrjsRzHgvTQRaTFI]
[(12.97238, 77.64134999999999)],[ChIJ_TNVMaYWrjsR1awruIboO1I]
[(12.934111, 77.62957699999993)],[ChIJQ0r9RV0UrjsRx1457kY0x8Y]
[(12.9295877, 77.63149329999999)],[ChIJA3dtTWcUrjsRgzHlP7uBFMI]
[(12.9207104, 77.59014439999999)],[ChIJq41gGQoVrjsRhYZzQeny5XU]
[(12.9191848, 77.63809089999995)],[ChIJTQQ7X44UrjsRjqAapydtC7k]
[(12.9653521, 77.63818409999999)],[ChIJQfepXxsUrjsR5DaZRZT-tqo]
[(12.94546, 77.58638500000006)],[ChIJ6a_AE8AVrjsRKP_nV60-TFI]
[(12.9777845, 77.64643180000007)],[ChIJjwF9X64WrjsRkZezCXXixVo]
[(12.9907761, 77.55350069999997)],[ChIJYyqEU4w9rjsRKWywvKt57-o]
[(13.011523, 77.54379300000005)],[ChIJoTzZ8HU9rjsRLx3tyDKHooM]
[(13.007794, 77.56238299999995)],[ChIJxXRUeSoWrjsRrdDPQZ3sk_I]
[(12.999758, 77.55050899999992)],[ChIJjXw6TYU9rjsRgWOdFfLKQQM]
[(12.9963907, 77.56931039999995)],[ChIJhYuMSSQWrjsR273G4sYzVdk]
[(13.081756, 77.540929)],[ChIJ5Sxd7JQirjsRZ-vTvgucROw]
[(12.9052704, 77.60316990000001)],[ChIJadgeoR4VrjsRW6vprl3-x0o]
[(12.9935337, 77.55035309999994)],[ChIJCdK6_pE9rjsRi6OxDEqQ_HA]
[(12.9053222, 77.61155780000001)],[ChIJ4yaaZOEUrjsRvD2eHIG3ap0]
[(12.9018014, 77.71534040000006)],[ChIJVYqatsMSrjsRpZylP8DZrrA]
[(13.0043304, 77.5530569)],[ChIJQbu_hoQ9rjsRbxfE_VKFR3Q]
[(12.941939, 77.55358899999999)],[ChIJ-4NfW4IVrjsR7MBvNp9PtNA]
[(13.0147469, 77.66548869999997)],[ChIJ9Xhf4ScRrjsRoJSW0VlOD1E]
[(12.917257, 77.58198900000002)],[ChIJg8nKo3QVrjsRrYwu4JM0Uuo]
[(13.0104731, 77.65826049999998)],[ChIJq6qqutU8rjsRDMCZl0wpiMs]
[(13.015333, 77.63609999999994)],[ChIJAQAAvFAWrjsRE6rHWjuLkJs]
[(12.9828631, 77.64289329999997)],[ChIJh8kvYLAWrjsRuI_fYPuaj5c]
[(13.018434, 77.63637740000001)],[ChIJ1W4-Wt8WrjsR8jW-R_NPe-Y]
