[(12.96542, 77.54509000000007)],[ChIJn41gA-I9rjsRJWAHEtalLZQ]
[(12.9695684, 77.53346260000001)],[ChIJoROCq949rjsRzF8_7qzMLLs]
[(12.9608916, 77.56410290000008)],[ChIJtYEzJf8VrjsRE19784yvWJ4]
[(12.968871, 77.52321699999993)],[ChIJQ8ksttY9rjsR716BjaQoLiw]
[(12.9593285, 77.55651089999992)],[ChIJd4xO-QM-rjsRZ16Gqxx70pw]
[(12.9699372, 77.60899979999999)],[ChIJo1LtToAWrjsRjF39-96gkow]
[(12.969691, 77.53304950000006)],[ChIJcxNNVNk9rjsR0lwnI9H7NIc]
[(12.968189, 77.52229899999998)],[ChIJj5a8o9Y9rjsRCFyUaSWZXx0]
[(12.964608, 77.54927900000007)],[ChIJbYk6GQg-rjsRk1tgW0pmhZI]
[(12.9729464, 77.52547660000005)],[ChIJeQd8UNA9rjsRZVchbOyIxok]
[(12.9752831, 77.54638550000004)],[ChIJY7isk-U9rjsRVld-GqjFmjc]
[(12.959815, 77.54034100000001)],[ChIJBWxfQgs-rjsRKVOV9pvvnpY]
[(12.9760614, 77.5521248)],[ChIJa1Qumfo9rjsRKlJR2IA0xlo]
[(12.9817484, 77.53223580000008)],[ChIJDY2YpMY9rjsRi0u-ROXkHHk]
[(12.9507475, 77.60279270000001)],[ChIJ-aV2CMwVrjsR8EXZEHswv4w]
[(12.9692441, 77.54155079999998)],[ChIJicZT2eA9rjsRSDjNrAkZAXM]
[(12.979419, 77.53914399999996)],[ChIJifA52Ok9rjsRbzdEt_xV-Ws]
[(12.9720107, 77.53351229999998)],[ChIJbY1id9w9rjsRCzTYMasqelc]
[(12.9762749, 77.59049000000005)],[ChIJ_SK_J3IWrjsRCjH5NlqdTps]
[(12.957891, 77.563579)],[ChIJ0Vx78vgVrjsRrzDXpqOTWc4]
[(12.972336, 77.55775700000004)],[ChIJgXukP_k9rjsR7ivTcVIB4sI]
[(12.9667955, 77.53305260000002)],[ChIJy9lC1Ng9rjsRkSLEsOJfXEw]
[(12.969882, 77.52876400000002)],[ChIJfej6Hto9rjsRbCJLlortEZE]
[(12.96422, 77.53169700000001)],[ChIJuenOn9g9rjsRwSHvuzjGWlA]
[(12.952248, 77.54470400000002)],[ChIJ15fSHxI-rjsRkBoCd4j0h_0]
[(12.957891, 77.56357300000002)],[ChIJD7188vgVrjsRhxZI1wbwWt4]
[(12.955456, 77.53059200000007)],[ChIJ_f__qnE-rjsR1g87LF38w_U]
[(12.953608, 77.55050099999994)],[ChIJocuGqho-rjsRXg4JbM1Gj4M]
[(12.961187, 77.56031800000005)],[ChIJK-KmlQE-rjsR5gbnq5694xM]
[(13.0054893, 77.62804589999996)],[ChIJH453qucWrjsROpBIeQiIHYU]
[(13.0241269, 77.55020919999993)],[ChIJ771egG89rjsRCX3urSWQVNc]
[(12.9284383, 77.58446359999994)],[ChIJTRGgo5gVrjsRnDkt3MKvrSc]
[(12.9363549, 77.69669599999997)],[ChIJSZKaCa0TrjsRjsBM6Z-xniM]
[(13.0162813, 77.57055489999993)],[ChIJDYw1LdIXrjsRfXbR2R12Ykk]
[(13.0195008, 77.6839989)],[ChIJx6tRS-IQrjsR5jC-qTaINzE]
[(13.04248, 77.52010999999993)],[ChIJb4g9ISY9rjsRRFMRKcFAuBk]
[(12.9264123, 77.62783769999999)],[ChIJVVVVEHX5rjsRRAjr7XkVJEw]
[(13.016108, 77.49894100000006)],[ChIJAQAAQPA8rjsR5y2hXmHEB-s]
[(13.040045, 77.57094299999994)],[ChIJr2N30eUXrjsRI5kR3J_puT0]
[(13.056068, 77.60879499999999)],[ChIJ4bMwmn8XrjsRBwoObu24C7A]
[(12.946003, 77.60287799999992)],[ChIJfyTGEMoVrjsRlPDLbiOfmTw]
[(13.042906, 77.51315)],[ChIJA-CJeNc8rjsRJNQOigMo_m4]
[(12.9850249, 77.55671029999996)],[ChIJL8JPfPQ9rjsR4sM8VSiIYJM]
[(13.0217802, 77.55524880000007)],[ChIJhc7OTHs9rjsRj6L309SOsy8]
[(12.9648241, 77.6393147)],[ChIJ-4MLihwUrjsRaHr5H3y_fXo]
[(12.9900199, 77.60689179999997)],[ChIJM3UqD2AWrjsROUa6L-UiSmA]
[(12.9279504, 77.68412289999992)],[ChIJKXupbKcTrjsR_90q_RwWFaA]
[(12.945574, 77.59576130000005)],[ChIJ2Qg15McVrjsRoD4_XZVYwFU]
[(12.9560833, 77.69762990000004)],[ChIJm8sskcwTrjsRDZDJBz2ncks]
[(12.9310785, 77.68463459999998)],[ChIJ-y8cj6YTrjsRR0eFdTEEjCE]
[(12.982557, 77.73667750000004)],[ChIJW309APsRrjsRA7by1NojEvA]
[(12.9543607, 77.64224630000001)],[ChIJEalAJw4UrjsRpwyROR1fm54]
[(12.9483448, 77.64438940000002)],[ChIJ3ze9Ig0UrjsRDbpd7cPylEU]
[(12.9304407, 77.62253609999993)],[ChIJ7VYXtlsUrjsRXghoSce9Cfw]
[(13.0510028, 77.5935068)],[ChIJv9xkJ48XrjsRDmH1pnAG7AA]
[(12.9338496, 77.60417370000005)],[ChIJS_uMd7IVrjsR1RkNAF5-5sI]
[(12.9777714, 77.66533340000001)],[ChIJR9TsdFoRrjsR-IG-u8OQlXk]
[(12.9855883, 77.73827080000001)],[ChIJyztQtOQRrjsREoCESm6arN4]
[(13.0207212, 77.55348000000004)],[ChIJa9EkJ3s9rjsRpq_TKVwlsBE]
[(13.0495204, 77.50749380000002)],[ChIJ6axIs9M8rjsRJmzAE5FGKec]
[(12.95466, 77.63800709999998)],[ChIJj9j6GBEUrjsRwZApwbNZllQ]
[(12.9721737, 77.645534)],[ChIJvawVXLYWrjsRdMI--c7UzBU]
[(13.021304, 77.5532627)],[ChIJyRwT1no9rjsRagvch4kZS2o]
[(12.9849015, 77.73328049999998)],[ChIJPQK7A_ARrjsRRNpEDxwY4wA]
[(12.9453803, 77.65114990000006)],[ChIJt1aDG3UUrjsRNrHU5XB3Z1U]
[(13.0376743, 77.55271700000003)],[ChIJld56jlw9rjsRKOdUo-B-jMo]
[(12.9848623, 77.73336500000005)],[ChIJD8vnA_ARrjsRyJ_dCaKRhGk]
[(12.9500981, 77.64222889999996)],[ChIJP3lXhw0UrjsRkgj1zRl5F6c]
[(12.9774, 77.63121699999999)],[ChIJh4mDfaIWrjsRJD7URhhZRFA]
[(12.9848152, 77.73287149999999)],[ChIJczKIHPARrjsRj1d6uT3tYgg]
[(12.9431741, 77.5385642)],[ChIJz1Vdtmo-rjsRQKZvcN5_JaQ]
[(12.9415809, 77.56525480000005)],[ChIJa0igGosVrjsRK0JUJa-nS90]
[(12.949534, 77.64228249999996)],[ChIJZ-Syfw0UrjsRhMSj5YotQU4]
[(12.9504175, 77.64440149999996)],[ChIJpZW_rw0UrjsRfVguHGyUOl4]
[(12.9279127, 77.58659720000003)],[ChIJh7NFI6IVrjsRtEzIYeUHLVw]
[(13.031735, 77.5649694)],[ChIJAZbxTN4XrjsRXCeIWx-UXgo]
[(12.9269635, 77.62188609999998)],[ChIJAXdGplkUrjsRFLDdg1cWTKA]
[(12.946481, 77.59808799999996)],[ChIJQSdOQcgVrjsRHnXIp3_1gZI]
[(12.9899351, 77.65350569999998)],[ChIJf9iq1UoRrjsRYLvDirR5Hbc]
[(13.0316182, 77.56594419999999)],[ChIJ22ppQ94XrjsRa6VyyZFAS1Y]
[(12.9345397, 77.61099460000003)],[ChIJs8WLg00UrjsRdO3WRWX2QDI]
[(12.9917141, 77.65139309999995)],[ChIJuUHZb7UWrjsREC_BeWuXmpo]
[(12.988583, 77.60261700000001)],[ChIJkyr5yGAWrjsRLBOlbXU6FB8]
[(13.0278408, 77.57102529999997)],[ChIJM8KKe9sXrjsRbFsJTX6x8fY]
[(12.979983, 77.62778300000002)],[ChIJhZw51ZkWrjsRyyXwQJwkgso]
[(12.9341763, 77.62396569999999)],[ChIJVbTYTlsUrjsRnv2reShHncs]
[(12.9740991, 77.70845800000006)],[ChIJr7xyoocRrjsRFlSjrVqAmOU]
[(12.9863648, 77.58200119999992)],[ChIJq6qqqhUWrjsRbBAxkUS8PbI]
[(13.0266, 77.623017)],[ChIJOQ_h7BAXrjsRYI5E2uMDVbg]
[(12.9343859, 77.53565349999997)],[ChIJPZCS5kY-rjsRm7mXr-4G-Us]
[(13.0241341, 77.55044909999992)],[ChIJnWuigG89rjsRXZ1Z47f-Hbo]
[(13.02404, 77.56431610000004)],[ChIJOwPOTtgXrjsRcg5uJqEzEEU]
[(13.0315346, 77.56575909999992)],[ChIJfVjORN4XrjsRwqOI8oawyp8]
[(12.9841697, 77.64860610000005)],[ChIJuccM0rMWrjsRhgG0RP5Cn0c]
[(12.9736, 77.62283300000001)],[ChIJUcZ1cJwWrjsRc8NFPuJ44gc]
[(13.0577327, 77.5882765)],[ChIJOW6IhCAYrjsRpOrlV-byb9o]
[(13.0019004, 77.67974809999998)],[ChIJ805Q-RYRrjsRTApu5V01SEI]
[(12.9334627, 77.69371389999992)],[ChIJZeMDHqwTrjsRSTC-WlbJsV0]
[(12.9366421, 77.55377499999997)],[ChIJB8JeeSQ-rjsRzMN9eNhir3I]
[(13.019067, 77.59928300000001)],[ChIJ-TFriK4XrjsRPaI1keqqq0E]
[(12.931909, 77.54078400000003)],[ChIJ-9LTPjg-rjsRQP_xUqv55mQ]
[(12.927429, 77.57658850000007)],[ChIJGyNbg5sVrjsR8f4qoSkP8DA]
[(12.9959055, 77.53116729999999)],[ChIJ-R39D7s9rjsR5v4Az1Z9T04]
[(12.9863311, 77.74423330000002)],[ChIJwfqYsOIRrjsRy_q1B_-yyw8]
[(12.9454026, 77.52716880000003)],[ChIJd7DUI2Y-rjsR4ffrlyE5AR0]
[(13.0414189, 77.61571589999994)],[ChIJ8aFuWnEXrjsRgvf1k9G7JqE]
[(12.9340662, 77.56199600000002)],[ChIJiX3FKYgVrjsRgfSr7z5KuB0]
[(12.9966324, 77.49613829999998)],[ChIJD5zF1Vw8rjsR8vP5zcj9WT4]
[(12.949694, 77.57991100000004)],[ChIJgcUzWOkVrjsRpPItMgH7E5s]
[(12.993583, 77.53427399999998)],[ChIJ-VJeEbw9rjsRovBH7iT7_5c]
[(12.9453406, 77.61824159999992)],[ChIJNfh1HEgUrjsRLO_0q3wEMzo]
[(13.0192812, 77.52038579999999)],[ChIJv3OIRwM9rjsRd-4HYUwWsqc]
[(12.9448549, 77.60721969999997)],[ChIJufYsV7UVrjsRGO7hq0X-nog]
[(12.9300717, 77.61500180000007)],[ChIJs-VaFVEUrjsR0uzJTFwiBvc]
[(13.005377, 77.63460199999997)],[ChIJ2w1l8dwWrjsRUexcLuLyMPg]
[(12.93182, 77.59158300000001)],[ChIJxbXqvaQVrjsRvuvB9nILMKk]
[(12.985615, 77.73818489999996)],[ChIJgem5teQRrjsRuOu0s1m4Nu0]
[(13.01039, 77.53829599999995)],[ChIJYVVVpQo9rjsRfetiHhRKDDU]
[(13.0243301, 77.56445020000001)],[ChIJTariTdgXrjsR9OmiSCv5Yc4]
[(13.0199816, 77.67458710000005)],[ChIJnUdSRN4QrjsRuulTnLEzat4]
[(13.0043373, 77.5567876)],[ChIJlcCkr4Y9rjsRE-jRGl_pPps]
[(12.9664355, 77.61454679999997)],[ChIJESLwkykUrjsRW-XrKAywI28]
[(13.008781, 77.52772400000003)],[ChIJp87S_ac9rjsRluQaONBPn78]
[(13.0237682, 77.56408009999996)],[ChIJCeLYR9gXrjsR_-MSzmXJ-Co]
[(13.0043132, 77.60019609999995)],[ChIJa_L4HFEWrjsR9OOkxJg20m8]
[(12.996353, 77.52290700000003)],[ChIJR05j67E9rjsRkuJzNvUW7hg]
[(12.944527, 77.52388100000007)],[ChIJn0_e5GY-rjsRXuIE4DnGgF0]
[(12.94096, 77.68958329999998)],[ChIJy49i9LATrjsRGuJnynJYYwE]
[(12.949413, 77.70928000000004)],[ChIJ6_7ZIkgSrjsRCOG3BWQLulY]
[(12.9323984, 77.55995310000003)],[ChIJgwBqvyA-rjsRRt8oS5q9V6I]
[(13.011765, 77.52197799999999)],[ChIJI3xd-Kk9rjsR9N1297jBt9E]
[(12.94474, 77.56110999999999)],[ChIJP61Kox8-rjsRvN0_9WGtB-w]
[(12.990113, 77.60648300000003)],[ChIJyZISC2AWrjsRYt28dPEMQsw]
[(13.026183, 77.62611700000002)],[ChIJ2emdXtcYrjsRCN03586-VjM]
[(13.0255592, 77.56098509999993)],[ChIJoT-RZWI9rjsR7Nxs7CsPOyQ]
[(12.9850596, 77.54266659999996)],[ChIJO6SWD-s9rjsR4txpwQs_tIU]
[(13.0365487, 77.55743110000003)],[ChIJdwlRjF49rjsRt9taWrzA744]
[(12.9765406, 77.66613869999992)],[ChIJoQEgHFoRrjsR7Nk8bO_8IWI]
[(12.9856319, 77.52637589999995)],[ChIJxwwfF8g9rjsRjtnLVVU1RFg]
[(12.9867737, 77.52136280000002)],[ChIJh9uh-7U9rjsRVtjfNLslHjg]
[(12.9377845, 77.56296959999997)],[ChIJCwnnPYoVrjsRvtd_70sPLEU]
[(13.002815, 77.55692700000009)],[ChIJJwAAkIY9rjsReNdxZnPTEK0]
[(12.9757024, 77.64023569999995)],[ChIJnRkw26UWrjsRK9fP2dN4WxU]
[(12.9906226, 77.5471513)],[ChIJqyg5qZM9rjsRJdcV1k-gZK4]
[(12.9925978, 77.57355059999998)],[ChIJoTSMzDwWrjsRnNQi7-vwM-Q]
[(13.0371364, 77.55329180000001)],[ChIJyaRv9Vw9rjsRL9T3puyCqM4]
[(13.009197, 77.52509299999997)],[ChIJZ9Qlhwc9rjsRh9P0TBsWi4M]
[(13.0288623, 77.55810139999994)],[ChIJg3fzbGE9rjsRZdPbPCqU3xo]
[(13.0148322, 77.57135149999999)],[ChIJib41RdIXrjsRWNKyy485GJA]
[(12.9438981, 77.60680120000006)],[ChIJ06oiR7UVrjsRFtJrIxMluUs]
[(13.0107661, 77.52256809999994)],[ChIJkwwNOgc9rjsRltCaVAnIYE0]
[(13.039662, 77.62408300000004)],[ChIJO5SHZGwXrjsRZtCYijt_CBc]
[(12.9262265, 77.51495840000007)],[ChIJW4IQjPg-rjsRCM-j6oy0Bwg]
[(13.015541, 77.61781599999995)],[ChIJyxeewgIXrjsRLczEVwKoAE0]
[(12.989147, 77.60210800000004)],[ChIJSzhFs2AWrjsRVsvyiGjVn74]
[(12.986968, 77.533544)],[ChIJ5424Vb89rjsRzsnvfVINt4A]
[(12.9930545, 77.67650490000005)],[ChIJiQ-pAkARrjsRksfuZgzsV7Y]
[(13.03992, 77.57633599999997)],[ChIJMQ9u1e4XrjsRX8d-aUPGNOY]
[(12.985123, 77.51249499999994)],[ChIJVVVVhTU8rjsRu8bmcdQOv-c]
[(13.0317606, 77.55362779999996)],[ChIJv5aNdGc9rjsR9sVwNcStnww]
[(12.9302106, 77.55365660000007)],[ChIJL9QRdC8-rjsR7cVxBrOFFr4]
[(12.9409449, 77.59274879999998)],[ChIJsZL9D7kVrjsR3sXznfpONOc]
[(13.0501341, 77.61986200000001)],[ChIJd4LsKGUXrjsRncUKEvcpgBw]
[(13.0104962, 77.69300369999996)],[ChIJoZMCGgQRrjsRtcSOFlglCNI]
[(12.9876928, 77.60164839999993)],[ChIJgb-xLmcWrjsRAsSjzZm_w6M]
[(12.993269, 77.55769899999996)],[ChIJg4Lv3Ys9rjsRWMNK6vQDOkM]
[(12.946568, 77.54071899999997)],[ChIJZ-jnRhQ-rjsR4cI2Y-qSYTI]
[(12.9898415, 77.60575240000003)],[ChIJ13b7cGAWrjsRwcKQvEBy_rc]
[(12.9735084, 77.72955060000004)],[ChIJMRvdih0SrjsR18Fn4RrXj9M]
[(12.9929631, 77.52872849999994)],[ChIJeyHfGbo9rjsR48BXoaleKxk]
[(12.9566544, 77.69985880000002)],[ChIJlbrnSTMSrjsRzsD6BEU_AF8]
