[(12.9897471, 77.58815019999997)],[ChIJqZQybIEWrjsRezNLL4Ju2Gk]
[(12.9719259, 77.61807780000004)],[ChIJF5fAPIMWrjsRRvy9MdDHb_g]
[(12.925942, 77.58569799999998)],[ChIJxZDi6aEVrjsRXGxR3DWeTdw]
[(12.969319, 77.64156200000002)],[ChIJP-BHzKcWrjsR2nXjo-z4CG8]
[(12.931443, 77.58619199999998)],[ChIJ6cKnlaIVrjsRZFBzluqq2BE]
[(12.9851, 77.57917999999995)],[ChIJe02jIBQWrjsRN08CJALXSfo]
[(12.984762, 77.61181799999997)],[ChIJvzoNYYkWrjsRmut05Kgzd5w]
[(12.917319, 77.62902199999996)],[ChIJDzxMXfMUrjsRyJYNbf5scho]
[(12.9077682, 77.59333289999995)],[ChIJaXqmyxEVrjsR_XqlGqZ1pQY]
[(12.9752753, 77.61464239999998)],[ChIJE8R9PncWrjsRIEvuf_d6jCI]
[(12.9677163, 77.64114259999997)],[ChIJmZNA76cWrjsRUOEQU0I9WTg]
[(12.903659, 77.58289400000001)],[ChIJe42nb2sVrjsRo981g8MCPJ0]
[(12.9980124, 77.64788520000002)],[ChIJwXVsFtoWrjsRqMIayXPf05U]
[(12.9890322, 77.59364140000002)],[ChIJXVueMmgWrjsRF3BDnldM-xs]
[(12.9298263, 77.58430479999993)],[ChIJm9_yhpgVrjsRhdFOg7RQ5Zs]
[(12.9834522, 77.59382049999999)],[ChIJ9dpTfWMWrjsRfH7TFYSDoM4]
[(12.928966, 77.67215899999997)],[ChIJ5bC4jJ4TrjsRos5ZboS-gCQ]
[(12.9313, 77.63255400000003)],[ChIJTxl-W10UrjsRvixp0ISMcZk]
[(12.955106, 77.65029200000004)],[ChIJ6wpqWFURrjsRHy-G2U632lc]
[(12.92186, 77.58497299999999)],[ChIJk_4TQ5gVrjsReqJSQnY4pKQ]
[(13.006481, 77.56281100000001)],[ChIJZQSxOCoWrjsRDN45KXmAkkU]
[(12.9708267, 77.64801979999993)],[ChIJDwAAwKQWrjsR1V0aFRQW4ho]
[(13.0192658, 77.63428190000002)],[ChIJVVVVEa8WrjsRTli22FhcLH8]
[(12.9373117, 77.6430206)],[ChIJGU4TuFsUrjsRqA1NBrSFLNc]
[(12.940609, 77.55402400000003)],[ChIJc9q3WiI-rjsRhLUCDGJP2_Y]
[(13.016958, 77.66924599999993)],[ChIJ881DltgQrjsRHXnMU_cRTfU]
[(12.9125669, 77.63634830000001)],[ChIJtQv4m7cTrjsRHi9JiUCz2ro]
[(12.933762, 77.58219000000008)],[ChIJgTaAnpcVrjsR-SLTJo2BIxY]
[(12.9603609, 77.72054939999998)],[ChIJ____PzwSrjsRrZD8m3b4C-c]
[(12.926968, 77.56481299999996)],[ChIJTRMI2IYVrjsRqJj0YMzWPyg]
[(12.972285, 77.62086199999999)],[ChIJLU6lP4cWrjsREYC0ZCZ-p38]
[(12.9306817, 77.58709410000006)],[ChIJC1S7WqIVrjsRZDSJEgoBvnM]
[(13.019029, 77.64095999999995)],[ChIJvZSiCSUXrjsRJqWDKpjcaD4]
[(12.972739, 77.64321300000006)],[ChIJm9iojqgWrjsRsVVs8W78I60]
[(12.9294659, 77.57312819999993)],[ChIJVVVVFYEVrjsRm56qvHw6PlQ]
[(12.967627, 77.64132500000005)],[ChIJP-BHzKcWrjsRE9cUXNRW_30]
[(12.9704774, 77.64145069999995)],[ChIJv_1O76cWrjsRW6IZJa0Mr6E]
[(12.9157093, 77.55532540000002)],[ChIJsRTe7dM_rjsRGtzRFyV-isU]
[(12.937457, 77.61943799999995)],[ChIJRUOsgUUUrjsRcuUi4TYWTPY]
[(12.9627813, 77.6803463)],[ChIJ4-jk9dwTrjsRmS1jqOrNTFw]
[(12.9692, 77.63629300000002)],[ChIJhbeCqqAWrjsR1jBqp6DKy_8]
[(12.9967719, 77.58287399999995)],[ChIJ938b7zgWrjsRIzPoGGE4zSU]
[(13.026169, 77.62688300000002)],[ChIJxVRVVUAXrjsRJbn1bJMz26E]
[(13.006991, 77.54956199999992)],[ChIJIXoU7MQ9rjsRPu2YPB3fhYk]
[(13.013913, 77.69637399999999)],[ChIJTWsCAwERrjsRkPhw84KtBq0]
[(12.960899, 77.51012200000002)],[ChIJ1YbyKII-rjsRDAq63cWNIZA]
[(12.9580777, 77.72094730000003)],[ChIJ9apJWDsSrjsRJbAecWkf-Kk]
[(12.9142133, 77.59929809999994)],[ChIJ11DwUAQVrjsRSf8nQecMEcA]
[(12.9212249, 77.63315620000003)],[ChIJ2cgw_IoUrjsRPPOWjEbvaqU]
[(12.9849815, 77.55334399999992)],[ChIJ_____4w9rjsRUE-CTA6A_SQ]
[(12.959345, 77.70175199999994)],[ChIJv2i18zISrjsRFm6mlrLiKbk]
[(12.9720993, 77.75147130000005)],[ChIJk2F2cfwNrjsR5YyQXqSjeYc]
[(12.95959, 77.65626099999997)],[ChIJ8_p6MvgTrjsRdFsqNpVO6kU]
[(12.9302437, 77.56050900000002)],[ChIJwcgkmy4-rjsRUKGSBUcFdMs]
[(12.9481792, 77.6027755)],[ChIJAWHzdMwVrjsRR7Lyb6yS5sU]
[(12.956555, 77.709788)],[ChIJBfSKuTASrjsRo4e86k9wLCs]
[(13.0033664, 77.5711877)],[ChIJsTrXTy4WrjsR1LOnIQ9bYyo]
[(12.9229851, 77.58179440000004)],[ChIJHf86sp8VrjsRuX-4gCt0VSE]
[(13.005265, 77.56914900000004)],[ChIJWeZnny4WrjsRKfQriDPVmcE]
[(12.9834507, 77.56552420000003)],[ChIJAQAAkB4WrjsRNtTfuAgZHY4]
[(12.9218254, 77.58497779999993)],[ChIJNeKTAaAVrjsRWXg-u5NRmKc]
[(12.9401205, 77.54779669999994)],[ChIJGRhLBj0-rjsRkv-QEOINDoQ]
[(12.917319, 77.62902499999996)],[ChIJ0wwjZvMUrjsRK9OpQPyDvPI]
[(12.989796, 77.71548600000006)],[ChIJ__9by5YRrjsRT8w4QHnQCfQ]
[(12.9701184, 77.64287530000001)],[ChIJj9bKGqgWrjsRjcvBl2VN--k]
[(12.93665, 77.615092)],[ChIJra63XU4UrjsRMq7Cx5f4kxU]
[(12.9367083, 77.61519199999998)],[ChIJdwCpT10UrjsR158jIk25vhU]
[(12.970351, 77.69793030000005)],[ChIJk9oOFtUTrjsRWZoTsloUMiM]
[(12.91088, 77.57906600000001)],[ChIJmVA39nEVrjsR94g2E6npz-g]
[(12.9223836, 77.54914689999998)],[ChIJ4VUUizI-rjsRO16MGrhi_lM]
[(12.955748, 77.710824)],[ChIJKc1aVTcSrjsRtFhRkhQGWCU]
[(12.9617411, 77.61472690000005)],[ChIJsVzPuS4UrjsRBEofXCxxbaI]
[(12.9957817, 77.62811250000004)],[ChIJzWO3NeoWrjsRskkkM1ysHAc]
[(12.9169131, 77.60414930000002)],[ChIJAQrZYgEVrjsR_QLwp1YqiNY]
[(12.931037, 77.58528000000001)],[ChIJf4Dvm6IVrjsRweGKQJdu0m8]
[(13.027767, 77.60439999999994)],[ChIJocTZ5KYXrjsRz16BFjgHFLI]
[(12.998483, 77.61013300000002)],[ChIJLYj-UPYWrjsR0BRtGW5TBVY]
[(12.9484228, 77.56835279999996)],[ChIJzY389_MVrjsR1rCF8a-RwJQ]
[(12.988464, 77.55245100000002)],[ChIJE8R9PncWrjsRZydw5wooK58]
[(12.9608077, 77.63900939999996)],[ChIJz-15DRkUrjsRikRZjcql4fc]
[(12.941033, 77.61660600000005)],[ChIJMfsx2UgUrjsRAQcWdGr3DJQ]
[(12.990867, 77.57389999999998)],[ChIJ-d6lLz0WrjsR3WX7kg7XEvs]
[(12.9159315, 77.60553359999994)],[ChIJabjBMAIVrjsRw6dDkDx5-6w]
[(12.9765149, 77.64086180000004)],[ChIJVVVV0ZA9rjsRuSuiup0nRIU]
[(12.9852742, 77.5959024)],[ChIJwwCLo2gWrjsR2mAjsmaUR-Y]
[(13.003987, 77.57137799999998)],[ChIJVVVVVSoWrjsRkEm2yA-uuYQ]
[(13.0165678, 77.59413219999999)],[ChIJtQsQSLIXrjsR5o0IV6GCd3Y]
[(12.9251116, 77.61924769999996)],[ChIJ09JpNVoUrjsRHZtsY5RRZmI]
[(12.910296, 77.60046799999998)],[ChIJQzWg5CQVrjsRQLiN0Nii1Ho]
[(12.9903328, 77.55850290000001)],[ChIJq4wOBYs9rjsRJ5ENTIxggc0]
[(12.988383, 77.55435)],[ChIJuX72PPM9rjsRHssPm_YJDn8]
[(12.9935158, 77.592041)],[ChIJoyqmuEMWrjsRkP5TNUEAyNU]
[(12.942117, 77.60273299999994)],[ChIJQRJQLbQVrjsRbZg_IYFCITk]
[(12.9224733, 77.59597959999996)],[ChIJ36SpvKAVrjsReYPTiptwYvU]
[(12.9065085, 77.5594059)],[ChIJJUB_U9g_rjsREyXQB6jdcLQ]
[(12.9308386, 77.58461399999999)],[ChIJ4xwmeJgVrjsRR2Qsij8cox8]
[(13.00239, 77.56537000000003)],[ChIJ6TcP_SgWrjsRJtCNFOWLNc4]
[(12.929666, 77.58365900000001)],[ChIJdWxk6JgVrjsRtPXe8xM5Ahs]
[(12.975494, 77.61737800000003)],[ChIJO6yN7IQWrjsR3tvbF3W3Zhc]
[(13.0045369, 77.56660729999999)],[ChIJyRSTjSUWrjsR7uo9f8zSfsE]
[(12.920726, 77.51470300000005)],[ChIJtwRpn_8-rjsRtGu0A66Xj-A]
[(12.9887256, 77.591856)],[ChIJYcWj6WkWrjsROdh1R4YQYeE]
[(13.010833, 77.61391700000001)],[ChIJaSn70_0WrjsRNiW-BSBzjSg]
[(12.989619, 77.66181170000004)],[ChIJPwAAAE8RrjsRg9hVozvf6B4]
[(12.987726, 77.67050700000004)],[ChIJ8V3pAUQRrjsRneiXoSvezqo]
[(12.971825, 77.65556200000003)],[ChIJq6qqaqwWrjsRY47qV6YAcMg]
[(12.999183, 77.57053300000007)],[ChIJm0FYnSUWrjsR1kfIulbYfcc]
[(12.933301, 77.54572400000006)],[ChIJtdbPui8-rjsRGapYE4ejUDA]
[(12.9457679, 77.60265890000005)],[ChIJV8vCGsoVrjsReeft6SIYSNA]
[(12.9420303, 77.60247959999992)],[ChIJT8GTLLQVrjsRt81QSCnmGeU]
[(12.920115, 77.58604400000002)],[ChIJC8HcwAoVrjsRnFCzmk_REuw]
[(12.9387526, 77.55305139999996)],[ChIJL1FbCSM-rjsRMjtC6T3qKIo]
[(12.9271069, 77.58179270000005)],[ChIJ6ZkbK5kVrjsRK6P7tIIr_bI]
[(12.9134939, 77.6051784)],[ChIJBYXz_AIVrjsR-1xzabigU0w]
[(12.9419219, 77.55108840000003)],[ChIJFce8ryI-rjsRNYMEQoyikDY]
[(12.9900594, 77.55895169999997)],[ChIJF8oPHYs9rjsR4vprlylAgY0]
[(12.989369, 77.58891700000004)],[ChIJU-HmSUEWrjsRs_pOi6eSl78]
[(12.9244704, 77.57009449999998)],[ChIJI89ywhs-rjsRw_gnGXNbwi8]
[(12.9922365, 77.59365809999997)],[ChIJbWDU_kIWrjsRX_jGciDWIpI]
