[(12.985103, 77.602755)],[ChIJqZ55UGEWrjsRHgm3tBgnV-I]
[(13.0016189, 77.56076780000001)],[ChIJKazdmYc9rjsRoFV4DQMLeWU]
[(12.96065, 77.66634999999997)],[ChIJZ5hdQOUTrjsRNRmRKSR2-co]
[(12.9414111, 77.53885889999992)],[ChIJ042aIxY-rjsRhNsEIGWdoV8]
[(12.986551, 77.56792999999993)],[ChIJY-ZvzBgWrjsROTFfxpdqVbs]
[(12.997452, 77.61169089999999)],[ChIJzzVAwfYWrjsRt7mgsXV_3ZQ]
[(12.9408795, 77.55347319999998)],[ChIJnYlzWCI-rjsRyZnTrdo1co8]
[(12.988354, 77.50505799999996)],[ChIJW3VCh0g8rjsRYDLvFf9NcJY]
[(13.000117, 77.55788299999995)],[ChIJIUHCPIY9rjsRoz2qW3QT-lA]
[(12.9991335, 77.57898380000006)],[ChIJp-FTHjoWrjsRVwAppeDeqLQ]
[(12.952791, 77.61969199999999)],[ChIJP1a_DDoUrjsRVCU8J1eG_M4]
[(12.991553, 77.53787599999998)],[ChIJJcg9FL49rjsRVyvE0yPSSGo]
[(12.940923, 77.57980700000007)],[ChIJbVYlfZQVrjsRE5kYQ4AhyPM]
[(12.9844643, 77.55429329999993)],[ChIJi3CLpPM9rjsRHiVvX5A1YKQ]
[(12.93632, 77.56194000000005)],[ChIJ7ZiqWCc-rjsRmuBQE_bsELM]
[(12.9700066, 77.63115700000003)],[ChIJI6nfG6AWrjsRS0YVzDwKetY]
[(12.9885552, 77.49652190000006)],[ChIJRXeEBUE8rjsRzle9f1J9hTs]
[(12.943469, 77.60062500000004)],[ChIJS3pUuskVrjsRbfAaIm7GdrE]
[(12.9865323, 77.51436060000003)],[ChIJ28GUmUo8rjsRbvuHufp-Zno]
[(12.972256, 77.64982099999997)],[ChIJr_WOTqoWrjsRMe7ouudR4X4]
[(12.9510337, 77.62281840000003)],[ChIJEx7TejkUrjsR_OYsCQnLbiM]
[(12.970802, 77.49402599999996)],[ChIJW0yAYiI8rjsRbNzjGV_zIbU]
[(12.985203, 77.60625400000004)],[ChIJD6vnjGEWrjsRsNfpaO8rF30]
[(12.9848325, 77.60214300000007)],[ChIJn2-iVGEWrjsR_9YIKMHSYZw]
[(12.943891, 77.60736500000007)],[ChIJh4WwSbUVrjsRGNJaEmUeeqc]
[(12.985584, 77.51244099999997)],[ChIJJ9OQiDU8rjsRCMw5IaWEjXA]
[(13.000496, 77.53479000000004)],[ChIJe_4gDaM9rjsR0cUluhbetvM]
[(12.994829, 77.48916299999996)],[ChIJAS1ylGg8rjsRXcDjPwy6vc0]
[(12.9433668, 77.55897540000001)],[ChIJg4fyeB8-rjsRMbyS_jYiPHc]
[(12.996585, 77.57300600000008)],[ChIJY9l-0SQWrjsRj7spqn7gfGk]
[(12.960691, 77.509906)],[ChIJ7a69LoI-rjsRBrjKk8iaGgk]
[(12.99171, 77.54299300000002)],[ChIJV_UoP5Q9rjsRfLEcx1Dh_uo]
[(12.9399767, 77.60913640000001)],[ChIJp2wLXksUrjsRF7D4SIeZJT4]
[(12.9933665, 77.54764509999995)],[ChIJgx3TgZE9rjsRNa5_yuoKXjA]
