[(12.9710227, 77.54270689999998)],[ChIJ2RyMz-Y9rjsRtcYkLiGc-IQ]
[(12.9538467, 77.54770009999993)],[ChIJaWPd1A8-rjsRn8K2QNiKdFI]
[(12.964167, 77.53033140000002)],[ChIJkxHrf9g9rjsRJrP2KszgUuc]
[(12.9618299, 77.5210065)],[ChIJheIXOn8-rjsRC6hS6pZ4E6o]
[(12.95821, 77.55915200000004)],[ChIJXRojSwI-rjsRupxnPpdojv0]
[(12.973958, 77.57091200000002)],[ChIJycV5rgUWrjsR0ZupRR8rPaE]
[(12.963315, 77.534672)],[ChIJe16G7HU-rjsRmJdvMQV3tZ0]
[(12.9545953, 77.54982150000001)],[ChIJmTEx8A8-rjsRgZTKR417upo]
[(12.9733018, 77.57752040000003)],[ChIJn2GVLFgYrjsRQJGfHdu7MSM]
[(12.9666143, 77.59863429999996)],[ChIJmfjLz9cVrjsRoYVYJoGmV1k]
[(12.960937, 77.53077099999996)],[ChIJ-VMU6nY-rjsReXxGoHiiBGk]
[(12.9754958, 77.54167789999997)],[ChIJ5RTF0-c9rjsRunsL_TCTwZc]
[(12.9683907, 77.57028130000003)],[ChIJjQnrBgcWrjsRpnSNVXLwN8c]
[(12.959183, 77.52364999999998)],[ChIJX1IdbHk-rjsRu2EhbU3b58o]
[(12.964862, 77.61313100000007)],[ChIJW-FR0SsUrjsRoEOjfZPOOHk]
[(12.9667707, 77.59259259999999)],[ChIJV6AfndgVrjsRJj5K2zKN7Sc]
[(12.972777, 77.57710199999997)],[ChIJjez_wQUWrjsRvyzJOEoWuWE]
[(12.966367, 77.57870000000003)],[ChIJsxeZ9OEVrjsR6SfqcbBHmCQ]
[(12.9633081, 77.5774629)],[ChIJw0JEtOMVrjsRKSEPm39aQ48]
[(12.9701833, 77.60980970000003)],[ChIJqU_wWoAWrjsRag2vTffXIBU]
[(12.9669733, 77.53552860000002)],[ChIJK-xvA989rjsRCAiU3W_9xU8]
[(12.973573, 77.60315000000003)],[ChIJsdvSIHwWrjsRDRTsCz76A9Q]
[(12.9703405, 77.57084729999997)],[ChIJwYy6YAYWrjsR4Qx3E8yTAn8]
[(12.974667, 77.5747)],[ChIJvad6dQ8WrjsRat7zYA_27Z4]
[(12.964933, 77.54298300000005)],[ChIJ60PO3uE9rjsRpF-fwucuTOY]
[(12.9789554, 77.57483760000002)],[ChIJHyC5JBAWrjsRq9aEtE2RNcc]
[(12.972, 77.57458099999997)],[ChIJVVVVKQ8WrjsRu1H1y4Om4-A]
[(12.967533, 77.575017)],[ChIJE8R9PncWrjsR00ouxu28HLc]
[(12.96021, 77.57484)],[ChIJkdwPHO4VrjsRdLkzrBXCS4A]
[(12.9790519, 77.57939669999996)],[ChIJqbEXHxIWrjsRjhJ_eqRE3bg]
[(12.9655478, 77.60244720000003)],[ChIJezZqpYAWrjsR78LIivbhTfg]
[(12.9761848, 77.526117)],[ChIJGxri6c89rjsRPj2N6nvjDKo]
[(12.9679709, 77.5723729)],[ChIJWSIYxAcWrjsRO7EfiMsYZ_M]
[(12.953507, 77.58140400000002)],[ChIJjfrqRekVrjsRKP3hE1bxbf8]
