[(12.954024, 77.58011899999997)],[ChIJ9QQWuegVrjsRGE0FP04Lxvk]
[(12.9737018, 77.59623970000007)],[ChIJNXLqp3AWrjsR8ESyGsi8v0A]
[(12.9605873, 77.56538120000005)],[ChIJn7Wh0f4VrjsRqDQJQBKMh4w]
[(12.950872, 77.56228599999997)],[ChIJc4izKPYVrjsR-CLeCikv6E4]
[(12.9645705, 77.59139230000005)],[ChIJfcwf2tgVrjsR2B4x_Zwj2bQ]
[(12.9800677, 77.55439950000005)],[ChIJQfh-WIQ9rjsRoWpVT_1HdDI]
[(12.972933, 77.54731700000002)],[ChIJNcTGVuQ9rjsRabT-rfrDtFM]
[(12.9614656, 77.60165740000002)],[ChIJBUVPUdEVrjsRTvPji0hPEyY]
[(12.960973, 77.58714699999996)],[ChIJ54IP190VrjsR6Bt31ttKeUQ]
[(12.973817, 77.55016699999999)],[ChIJV0HIXsE9rjsRfK1nsA-FtCk]
[(12.969417, 77.54578300000003)],[ChIJCSPj0OM9rjsRfJLjbCOlu0E]
[(12.960387, 77.55968899999993)],[ChIJ_42ghQE-rjsRBsIFvjSet5k]
[(12.9739439, 77.59926789999997)],[ChIJuwKHzXsWrjsRS-IRJgHYzX8]
[(12.97755, 77.53396699999996)],[ChIJDz57ZcM9rjsRD0iOB32CNtw]
[(12.9644018, 77.58813209999994)],[ChIJQelPStkVrjsRi-FIBL3Eyhc]
[(12.9679742, 77.59261560000004)],[ChIJ-RNRDegVrjsRDCf52v8TSMg]
[(12.954633, 77.58328299999994)],[ChIJ5zOJcOgVrjsRzIsEEKZriY8]
[(12.9784016, 77.54336430000001)],[ChIJC8KS3eg9rjsRo9lPDgFKJz0]
[(12.9674579, 77.59960209999997)],[ChIJezZqpYAWrjsR1sVTjAOr2GE]
[(12.9806791, 77.57909110000003)],[ChIJDfpvhyYWrjsRmRKfMvHNuQc]
[(12.962873, 77.58182839999995)],[ChIJgXIAHeEVrjsRw5bNEDzrRxY]
[(12.959918, 77.60191559999998)],[ChIJff23Z9IVrjsRbpggDJNRzCk]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRDJ_Jq91nTDQ]
[(12.969433, 77.54578300000003)],[ChIJCSPj0OM9rjsRwJfY7D3amY0]
[(12.9542699, 77.57555400000001)],[ChIJVVVVhe8VrjsRcLMyKM9OeJA]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRtyAJ0PuDHDg]
[(12.953152, 77.57499899999993)],[ChIJE8R9PncWrjsRlYl95RlsuVU]
[(12.978056, 77.57797099999993)],[ChIJq4PK5hEWrjsRh__l9p7xcio]
[(12.977034, 77.57735530000002)],[ChIJyVn45eEXrjsR3r2-NQtLZ9k]
[(12.956783, 77.58249999999998)],[ChIJWeowtucVrjsRelunip1yaZ4]
[(12.9614954, 77.58405449999998)],[ChIJX1aAEOcVrjsR6jFknXJwGGM]
[(12.974201, 77.59927100000004)],[ChIJqWQbLvEUrjsRtnYa_J6a2G0]
[(12.981266, 77.53222299999993)],[ChIJXxYPdMI9rjsRWhpIy-Erqfs]
[(12.977565, 77.57474200000001)],[ChIJs8HdHxAWrjsR5xfQ00C0iSA]
[(12.9688, 77.54555000000005)],[ChIJDwRAw-M9rjsRAHVJNTQlZJs]
[(12.971117, 77.54658300000006)],[ChIJh9mRceQ9rjsRUxc2S9IFOfk]
[(12.959517, 77.58308299999999)],[ChIJaUTiFecVrjsRXrXWJn52Dtk]
[(12.9557256, 77.57705609999994)],[ChIJMe3_j-UVrjsRaYZMieUUHP4]
[(12.971267, 77.601)],[ChIJO-UQI3kWrjsRNj7Q503LnwU]
[(12.9577459, 77.60193720000007)],[ChIJl9a5eNEVrjsRT8qhLnVDbqs]
[(12.9715987, 77.59456269999998)],[ChIJK8BZqFsUrjsR-r246XhYdaI]
[(12.955462, 77.586093)],[ChIJkbcXSdsVrjsRQ7Zc9sh7xzo]
[(12.954612, 77.578799)],[ChIJVVVVhe8VrjsR-gT5TgTTd70]
[(12.958367, 77.58126700000003)],[ChIJE8R9PncWrjsRu_aOChYK5yc]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRjAm5KDOqzb0]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRdChxtaddF98]
[(12.9545592, 77.57449629999996)],[ChIJoycA9O8VrjsRMGx79ELxoDw]
[(12.9697295, 77.57021429999998)],[ChIJ6wZ6_gYWrjsR0SiOkbRe1Ys]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRl9Ls8CrpEgE]
[(12.9627843, 77.59023649999995)],[ChIJV4ZGd9kVrjsRtKYEp8NNqEs]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRYs87tvPjJg0]
[(12.9520133, 77.59629050000001)],[ChIJxREXicUVrjsRLnFcWl4hi5M]
[(12.9645, 77.57958299999996)],[ChIJJ6A0fuAVrjsRkHti9-KmO2k]
[(12.953016, 77.57529999999997)],[ChIJzRdLuu8VrjsRXw9pa64Rmg0]
[(12.957, 77.58023000000003)],[ChIJE8R9PncWrjsRoGhYKSOg8CI]
[(12.9775319, 77.57715800000005)],[ChIJpw8XJw4WrjsRYkcTszbFmuc]
[(12.9566318, 77.54843310000001)],[ChIJCSPj0OM9rjsRVC5CLowpkgo]
[(12.9535741, 77.57804799999997)],[ChIJlXA0P-8VrjsRLazAVY4Jf-Q]
[(12.954402, 77.57700999999997)],[ChIJoycA9O8VrjsReUWMgU7ju6w]
[(12.956507, 77.58360399999992)],[ChIJV2yH6ecVrjsRnV04zR5K1AQ]
[(12.9769108, 77.57718769999997)],[ChIJCVgcOw4WrjsR6BKV39vyT3k]
[(12.95877, 77.57822999999996)],[ChIJ0YNXOuQVrjsRFmbS7v6JYWY]
[(12.9540662, 77.57853620000003)],[ChIJdxU0T-8VrjsRQWqzG9cdUxo]
[(12.95713, 77.58087999999998)],[ChIJEweQQ-YVrjsRDWDJgOuMDOg]
[(12.9724203, 77.56893430000002)],[ChIJVRKWFwQWrjsRAF1BLEAPCMo]
[(12.9599163, 77.58322099999998)],[ChIJX1aAEOcVrjsR3chxUhC6S8g]
[(12.964233, 77.55596700000001)],[ChIJRRKOSwc-rjsRD3fPcocdZJY]
[(12.978017, 77.54468299999996)],[ChIJfSHZzOg9rjsRZGepXgfJp2I]
[(12.958283, 77.57963300000006)],[ChIJVZqxiOYVrjsRd2Nj_He4MdU]
[(12.9526727, 77.57703530000003)],[ChIJ5zA4G-8VrjsRUBrlecPJ4q0]
[(12.957417, 77.57691699999998)],[ChIJCXA-ruUVrjsRK3Gd8KoATS0]
[(12.95679, 77.58067000000005)],[ChIJVdRLQOYVrjsRdiW7UthDML4]
[(12.977382, 77.55308100000002)],[ChIJVVVVxTE-rjsROP0nid6faaU]
[(12.9524068, 77.59383129999992)],[ChIJxRh9JcMVrjsR-V1Jbg28iWs]
[(12.9628445, 77.54832820000001)],[ChIJAQAArM4VrjsR9SnPzttUqnA]
[(12.955252, 77.56379330000004)],[ChIJicNxO_gVrjsRPijZq0gAPV0]
[(12.954579, 77.57447980000006)],[ChIJoycA9O8VrjsReVlTrKbw8nA]
[(12.979167, 77.53911700000003)],[ChIJNRZL1uk9rjsRUOHAO9MwC64]
[(12.956585, 77.58305100000007)],[ChIJj3kpx-cVrjsRsiiThOyviOQ]
[(12.953068, 77.574613)],[ChIJAXnoxu8VrjsR-Kc8_FtoVQM]
[(12.958717, 77.580467)],[ChIJE8R9PncWrjsRzuEesDxtkkk]
[(12.952086, 77.59037599999999)],[ChIJdRdEiMMVrjsRbdGgQp74hx4]
[(12.9542699, 77.57555400000001)],[ChIJVVVVhe8VrjsRz3Xtqqvz-1k]
[(12.96965, 77.54586700000004)],[ChIJh93P7eM9rjsRNmsbT96AsNs]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRteXx0_8Q8rs]
[(12.9571806, 77.58007459999999)],[ChIJ1fgPb-YVrjsRIIErtteUZDw]
[(12.968517, 77.545433)],[ChIJle3W2uM9rjsRCTeOpHUYn3o]
[(12.951917, 77.57998299999997)],[ChIJCT24JekVrjsRNeRN3Ts3ltc]
[(12.952943, 77.57553600000006)],[ChIJxfO1uu8VrjsR8p-rkr6bc4o]
[(12.9550306, 77.57908509999993)],[ChIJiyJPRu8VrjsR_Vx69Ja-gfE]
[(12.960167, 77.58764999999994)],[ChIJ35ChzN0VrjsRaksSl9XtUzw]
[(12.975139, 77.52928299999996)],[ChIJXXSby9o9rjsR0xs1JA7kf8A]
[(12.955957, 77.57689000000005)],[ChIJdwldmuUVrjsRsZFTeu-HHAQ]
[(12.967539, 77.54535599999997)],[ChIJH2sULeI9rjsRadX2k4Fi4K0]
[(12.959567, 77.52269999999999)],[ChIJz1FgOHk-rjsRBtUtDeK1QtQ]
[(12.956257, 77.58105)],[ChIJ5dXaO-YVrjsR8HlwtsVbK_c]
[(12.958083, 77.580017)],[ChIJE8R9PncWrjsRlcbpM4ay_WM]
[(12.978098, 77.57786399999998)],[ChIJZ7yDbN0VrjsRM2_yCNYnKk8]
[(12.95737, 77.58100999999999)],[ChIJzV1KW-YVrjsRD53ZpdQaSKU]
[(12.96138, 77.57762300000002)],[ChIJDYRPjeMVrjsRfNcIwFDij4g]
[(12.960317, 77.58058299999993)],[ChIJTdgryOYVrjsROEb9BTf8V8k]
[(12.967933, 77.61104999999998)],[ChIJbWyweCoUrjsRutj6h-NEU2I]
[(12.953379, 77.57651899999996)],[ChIJ2Y_tC-8VrjsRKpZuDmWtp1s]
[(12.976367, 77.53558299999997)],[ChIJbzB8JcM9rjsRb0kW_DVqGEI]
[(12.956047, 77.57701099999997)],[ChIJsyWkkOUVrjsR0jOKMtNr5XQ]
[(12.954375, 77.53536699999995)],[ChIJzZ4TaHI-rjsRwLews-P42Pk]
[(12.954448, 77.57892600000002)],[ChIJoycA9O8VrjsRr8pVgWxapY4]
[(12.958233, 77.58003299999996)],[ChIJ86MCieYVrjsRbLlN_PZlFU8]
[(12.9539398, 77.57839560000002)],[ChIJLZ2CSO8VrjsRRT065bk5bqM]
[(12.9532704, 77.57777329999999)],[ChIJhb7oPe8VrjsR13tZzQv-Bxo]
[(12.978893, 77.54131099999995)],[ChIJGVgErek9rjsRL1Ar8bVnAzw]
[(12.9579, 77.580917)],[ChIJj3MrX-YVrjsRC6rIDDKJF6I]
[(12.976733, 77.54681699999992)],[ChIJdwchZe89rjsRckB9Etqg394]
[(12.955933, 77.57993299999998)],[ChIJH3INEOYVrjsRHNSwE-nk9a0]
[(12.95807, 77.58185000000003)],[ChIJE8R9PncWrjsRDYJkisrjH1o]
[(12.9824247, 77.60275899999999)],[ChIJedchkGMWrjsRovrnaLLy-cM]
[(12.972133, 77.546967)],[ChIJ97wgXeQ9rjsRSzrUeY_ILR4]
[(12.969117, 77.54566699999998)],[ChIJ-RzO6eM9rjsR24nRfdR53hc]
[(12.957717, 77.58079999999995)],[ChIJK5OcXuYVrjsRwpPHkfN_NPY]
[(12.9549746, 77.57676149999998)],[ChIJU8mwfe8VrjsR2vjGfQ8OStI]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRN_aHH4xBe9U]
[(12.9536738, 77.5781409)],[ChIJi1WYOO8VrjsR4O8nAqLXeLc]
[(12.963233, 77.53454199999999)],[ChIJ0cd_63U-rjsROuvhYr3YjSg]
[(12.967894, 77.54323099999999)],[ChIJn4hfC-E9rjsR8-ZAXj9tccg]
[(12.956533, 77.58280000000002)],[ChIJBUI2xucVrjsRPuaGtSAaXWc]
[(12.978223, 77.55345899999998)],[ChIJs4jE9fA9rjsRGuYelLDlOsk]
[(12.9532816, 77.57666649999999)],[ChIJfa_kC-8VrjsR1-Thw9XTF-4]
[(12.9540901, 77.57668420000005)],[ChIJP0gyce8VrjsRFd_1M_Kmz_8]
[(12.9535067, 77.5766734)],[ChIJa36ZDO8VrjsR59yIk3x4sAs]
[(12.95472, 77.53140200000007)],[ChIJ_-WVu3E-rjsR0NoqlhpOojY]
[(12.9512666, 77.59527060000005)],[ChIJ7Y5UPHcWrjsRgdlAKaOREFA]
[(12.9539803, 77.57667609999999)],[ChIJxa2rdu8VrjsRCtnnOos5SCk]
[(12.9973978, 77.58566989999997)],[ChIJTYuncEcWrjsRsc9ehMIE-fk]
[(12.928674, 77.50416210000003)],[ChIJ2fBDsfo-rjsRovV3zkeNqAE]
[(13.025467, 77.64169600000002)],[ChIJibIgUSUXrjsRUjImpCDQD54]
[(12.936833, 77.605817)],[ChIJ-S5eHLMVrjsR55IFdega2eI]
[(12.8988782, 77.57294780000007)],[ChIJfZiw8GcVrjsRDPaMHnub3NU]
[(12.9999486, 77.68201150000004)],[ChIJV1guqRYRrjsRAb2mv2vc9AQ]
[(12.9612162, 77.63562550000006)],[ChIJrWrKdhkUrjsR82V8p3s-8XA]
[(12.8914365, 77.6389901)],[ChIJP8hlYLoUrjsRxDzn1vPT-Lc]
[(12.988614, 77.58881900000006)],[ChIJgyqMN3oWrjsRF4oovoXvs7k]
[(12.8978085, 77.59893740000007)],[ChIJ2-BFWCEVrjsReAJL5pND4J4]
[(13.0281791, 77.54250249999996)],[ChIJC6AxJBU9rjsRy90BFlbvXdY]
[(12.910043, 77.62671399999999)],[ChIJtTu95uwUrjsRrrCx0IPmd3A]
[(12.912086, 77.62535409999998)],[ChIJ9TmB9fEUrjsRzmWKeR2qvSA]
[(12.996054, 77.69381099999998)],[ChIJb5RpYAsRrjsR7JDjaSTAbUM]
[(12.8829287, 77.64423750000003)],[ChIJrzju0FsTrjsR0DLDQPnnm5U]
[(12.9671321, 77.71700390000001)],[ChIJ059UpyYSrjsRvCDSuwFnYfs]
[(12.893033, 77.56760699999995)],[ChIJ_7QwqF4VrjsRlWQ-TLDVg_8]
[(13.0205254, 77.584114)],[ChIJ-2deLcgXrjsRnpCRC_BOXNY]
[(12.9283682, 77.67991810000001)],[ChIJ8SS4-6ATrjsR7JqzSHA2XdA]
[(12.9998272, 77.68206520000001)],[ChIJk7cnABQRrjsRs5kInpTjbms]
[(13.0327702, 77.54099900000006)],[ChIJn5B7KEE9rjsR2GSNXwvj-zk]
[(12.8507281, 77.66911649999997)],[ChIJITEl1ZBsrjsRqeESaTJKyoc]
[(12.989767, 77.59916699999997)],[ChIJfWwbznoWrjsRRskKrOlo4q4]
[(12.9919692, 77.71534689999999)],[ChIJaX5d75YRrjsRbamOz3P9qH4]
[(12.8498482, 77.65448570000001)],[ChIJB9qi-6NsrjsRWhcPEfzgmn0]
[(12.8980039, 77.59987479999995)],[ChIJvWVudCIVrjsRu_Ne1nSTcXc]
[(12.989346, 77.59896800000001)],[ChIJ_cw5CWYWrjsRilpHhKuCleY]
[(12.9358495, 77.51618929999995)],[ChIJa26PWF8-rjsRfDTdfkVbyE8]
[(13.0160983, 77.50549790000002)],[ChIJd5c5Zfo8rjsROMNbaXFA7PI]
[(13.0268946, 77.63668140000004)],[ChIJ4RsIoTwXrjsRwzzDagkzOXA]
[(13.029083, 77.57056699999998)],[ChIJeb8siNwXrjsRGHMq5UzLLpc]
[(12.9067138, 77.58064509999997)],[ChIJqenRN2wVrjsRHraXTM3yfks]
