[(12.9557555, 77.55803059999994)],[ChIJ__OEFgM-rjsR7s427-jz3qU]
[(12.9632747, 77.5330586)],[ChIJ0eQNCXY-rjsRrcsABNDNllY]
[(12.960732, 77.5283958)],[ChIJd6rxcHc-rjsR2MjhRwL-sXg]
[(12.9790354, 77.53915559999996)],[ChIJCeZ61uk9rjsRcMcWaj7JLL4]
[(12.9551399, 77.52819509999995)],[ChIJRZy_ZHA-rjsRAcZJml4xSy4]
[(12.9658845, 77.59136000000001)],[ChIJvSHnudgVrjsRz8XRrtx9lAs]
[(12.9547377, 77.54888660000006)],[ChIJTdErwg8-rjsRb8LV97QWiRg]
[(12.9775195, 77.53627819999997)],[ChIJndw54sI9rjsRUcA0r--NWoM]
[(12.958801, 77.59328600000003)],[ChIJiZD4qtsVrjsRMb5mKMluQ-k]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsR2b3eCcprOCA]
[(12.968192, 77.60661900000002)],[ChIJRaSU838WrjsRm73aX-QJlLI]
[(12.9794585, 77.53751009999996)],[ChIJB4NhQsI9rjsRTr0OG3NqRDE]
[(12.9669322, 77.5709948)],[ChIJZe4KmwcWrjsRl7kc53U8PM4]
[(12.9708711, 77.56131740000001)],[ChIJCzeLUf89rjsRjbKAaujHZPg]
[(12.959629, 77.54021799999998)],[ChIJmbMyQws-rjsR1rGxAujMH_4]
[(12.9598796, 77.59795899999995)],[ChIJB49j7NAVrjsRq7FenSwn5DE]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRAa_op7BJyII]
[(12.957372, 77.59863999999993)],[ChIJ-ZtUNtAVrjsRzqzNsYEx_7k]
[(12.9644895, 77.59366350000005)],[ChIJVSv_VNgVrjsRmKwt_b5oSUA]
[(12.9545881, 77.5552811)],[ChIJeWlUDQU-rjsRyqk_JEQsaUw]
[(12.9657193, 77.58222649999993)],[ChIJKVxNMuAVrjsRsKljaSjnAe8]
[(12.957533, 77.55921699999999)],[ChIJleECUwI-rjsR36gVxqdEd8M]
