[(12.9299114, 77.67547839999997)],[ChIJ8b95aZ8TrjsRw3atSma23sI]
[(12.9137174, 77.59752430000003)],[ChIJAwDNnwUVrjsRi4sXeqyvsDo]
[(12.9368584, 77.60123939999994)],[ChIJVyjBcLEVrjsRDjcaYm80lsE]
[(13.0180419, 77.64570819999994)],[ChIJc87jBSkXrjsRoGlrwKr3h0s]
[(12.938417, 77.61898300000007)],[ChIJHTxqYU8UrjsRChylQ7W2D7s]
[(12.9229483, 77.61764110000001)],[ChIJhThNdPgUrjsRil4eY6fhjlE]
[(12.985017, 77.66311700000006)],[ChIJL5vZDk8RrjsRFOj66w2sBKI]
[(12.9585361, 77.66787039999997)],[ChIJfeh2ne8TrjsRfHMCvWV40oE]
[(12.926994, 77.59181999999998)],[ChIJlQipo6YVrjsREYZvn_h_32I]
[(12.9138115, 77.63726280000003)],[ChIJ_44XR44UrjsRDWKZP923Wyo]
[(13.0138535, 77.6523972)],[ChIJ5QmNQNUWrjsRlbqVoKwYFP4]
[(12.9296904, 77.62139619999994)],[ChIJP80JMFoUrjsRPx4p-hGLdok]
[(12.9193353, 77.59258390000002)],[ChIJp30wpgkVrjsRvGthmlpDDdA]
[(12.960042, 77.65020849999996)],[ChIJTfMmNgYUrjsRIRYAeEiFEYg]
[(13.0202133, 77.64916970000002)],[ChIJXQIP8ysXrjsRg117A8bSnEE]
[(12.9750149, 77.61453180000001)],[ChIJSQAMFoQWrjsR5szFiRmn-14]
[(13.002352, 77.634233)],[ChIJNVGgTMMWrjsRw9T4e5LgkKE]
[(12.9684877, 77.64257359999999)],[ChIJFVcMsQIUrjsRg2MKUbUpx1I]
[(13.0296943, 77.56412130000001)],[ChIJZfygGt8XrjsRC6-wMyuHdPY]
[(13.011255, 77.67551249999997)],[ChIJGxjbWx8RrjsRzy1TU-QuPG4]
[(12.9446333, 77.57394790000001)],[ChIJ_w_pXO0VrjsRsKpoc1csB8Y]
[(13.028983, 77.620633)],[ChIJcZ-awBEXrjsRhT1ToATyHC0]
[(12.9408472, 77.54567889999998)],[ChIJkfZkwj0-rjsR9AR2k6aCyGs]
[(12.9070308, 77.63081169999998)],[ChIJRbvrn5QUrjsRLA8168rsRD4]
[(12.9366, 77.58548300000007)],[ChIJD1lIjr0VrjsRmV7GsmBiJc0]
[(12.9831216, 77.53499420000003)],[ChIJqX6_FsE9rjsRLbk6TAV_svw]
[(12.937783, 77.59906699999999)],[ChIJA-fa37AVrjsRl__Ka96rVec]
[(12.9932086, 77.55446080000002)],[ChIJcZlKIYw9rjsR0LHQZ3OvKYw]
