[(12.962851, 77.58085600000004)],[ChIJgbg2EuEVrjsRwWe5Uzg_ePo]
[(12.972296, 77.574345)],[ChIJ_4eNTg8WrjsRRmJx_zPVNY4]
[(12.9688382, 77.57543629999998)],[ChIJuTq8WQgWrjsRfE8odhNLpEA]
[(12.9720408, 77.57678080000005)],[ChIJo4MV0g4WrjsR3kG1yEcfHtk]
[(12.9716642, 77.57588989999999)],[ChIJk6AJ1AgWrjsRm0AP4TL9aMM]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRwz9XDUOgXxI]
[(12.9584962, 77.5256134)],[ChIJdUDki3k-rjsRkji4EXu7oC4]
[(12.9646681, 77.58403139999996)],[ChIJaXdo9vw8rjsR7SdPkIX1aRg]
[(12.973867, 77.54996699999992)],[ChIJK7osKeU9rjsR4ibwdWpb_ek]
[(12.960521, 77.59709829999997)],[ChIJ9V64vNAVrjsRLBBvAtUdUic]
[(12.9639107, 77.58399069999996)],[ChIJE8R9PncWrjsRAxBF-B8Mjnw]
[(12.9721099, 77.57966469999997)],[ChIJ1dxt-AsWrjsRagcVHtWDc4s]
[(12.95794, 77.56207999999992)],[ChIJ78YinfgVrjsRGAECWIR-LMY]
[(12.93835, 77.58011699999997)],[ChIJJxOhoZYVrjsRfLyCjvr5jsk]
[(12.9384939, 77.56969589999994)],[ChIJ8T3T94wVrjsRwS4Z2aCbqFw]
[(12.974983, 77.62163299999997)],[ChIJE8R9PncWrjsRuHNN-Bp1KOg]
[(12.9920548, 77.57067559999996)],[ChIJGZx04yQWrjsRiLL2-2YWko0]
[(12.9318048, 77.55928429999994)],[ChIJPUAaQo0VrjsRJ3vxYG3jwp0]
[(12.975102, 77.66461099999992)],[ChIJRfPJ1P8TrjsR9tRqgI7Kf0M]
[(12.97895, 77.61798299999998)],[ChIJoYO1GYUWrjsRUTSA4eLPWm4]
[(12.9721792, 77.64561470000001)],[ChIJ5Uw9JrsWrjsR8TzXw6cYb4E]
[(12.9294706, 77.5742851)],[ChIJNRk5a5EVrjsRVlLvjRYHWR0]
[(12.973933, 77.63586699999996)],[ChIJ9yYHT6EWrjsR5g8g-QRLCOA]
[(12.992603, 77.62354099999993)],[ChIJy0AdA_EWrjsR7FV8-xXxdmk]
[(12.9315439, 77.59199650000005)],[ChIJjbLRlKQVrjsRKD8AFzTymsM]
[(12.933821, 77.55841599999997)],[ChIJjbKBUCY-rjsRY_wiuvnCjM4]
[(12.9783753, 77.64155089999997)],[ChIJD8R0fKUWrjsRK14Xq6NG5OQ]
[(12.943243, 77.565249)],[ChIJKdB9JfUVrjsRw2MXDBqhA-0]
[(12.987901, 77.52611200000001)],[ChIJGwEAwLc9rjsRkFnVD1JjLJU]
[(12.958207, 77.63840099999993)],[ChIJS5oCdxoUrjsRzl7exQSUdDc]
[(12.933379, 77.60085600000002)],[ChIJd0fwHq4VrjsR1s06GnT3jz8]
[(12.9465159, 77.59477760000004)],[ChIJvaSawccVrjsRkjiiG0bs8-Y]
[(12.9886819, 77.52705779999997)],[ChIJAQAAwLc9rjsRuZtNhmZPFrU]
[(12.9411776, 77.59243719999995)],[ChIJU_TPG7kVrjsRo38J8sNaJkg]
[(12.98355, 77.61016700000005)],[ChIJK8lvpIsWrjsRGb7JOsHfyWY]
[(12.9849452, 77.60769890000006)],[ChIJQRw3_mEWrjsRC_Qxxl016V4]
[(12.9459571, 77.55641809999997)],[ChIJOYWE1B4-rjsRb0VDu_ClaUM]
[(12.990386, 77.66376560000003)],[ChIJSUStYUgRrjsRuXnXl7nT3cM]
