[(12.9714122, 77.60593960000006)],[ChIJwUqXRX4WrjsRy9026RsSNbY]
[(12.9676013, 77.59974)],[ChIJbR7_gngWrjsRq3zJm8_Ke84]
[(12.9699515, 77.60661040000002)],[ChIJsdCTyH8WrjsRxElkvZw_9yk]
[(12.9823933, 77.61046590000001)],[ChIJa4kyqokWrjsRg-Za1kelXHE]
[(12.9734086, 77.60162160000004)],[ChIJK4OuPXkWrjsRwINdTKkDcj0]
[(12.974354, 77.6095315)],[ChIJNeDqO4cWrjsRoO2Hzdx0BW8]
[(12.9700073, 77.60962949999998)],[ChIJieZsUIAWrjsRfoosCrlPrec]
[(12.9786911, 77.57748130000004)],[ChIJewao7xEWrjsRR3Nzhj19zhw]
[(12.9800508, 77.58608509999999)],[ChIJwSxMpkEWrjsRP6HDlEr7O4M]
[(12.9623462, 77.59909859999993)],[ChIJz2-qLdcVrjsRm9nn-JCd-9k]
[(12.9666008, 77.60651959999996)],[ChIJQVnhQdUVrjsRiJBVU8FXct4]
[(12.9748813, 77.53745879999997)],[ChIJ8WXNnqATrjsRVT6JoZsoeQA]
[(12.9727702, 77.60029220000001)],[ChIJ1Wpce3kWrjsRnJRhLAVNM4M]
[(12.974796, 77.60489200000006)],[ChIJlVo5T3wWrjsRuuMKSChT-fo]
[(12.9734104, 77.54196490000004)],[ChIJVVVVxXQ-rjsR3rUjTglWt9o]
[(12.9715217, 77.60075759999995)],[ChIJqyu7O3kWrjsRcjGi5zNKdhk]
[(12.967367, 77.608383)],[ChIJE8R9PncWrjsREaf3Rz9K8oE]
[(12.981709, 77.60932000000003)],[ChIJJ61T0okWrjsRWN-ob7zKRHc]
[(12.9726821, 77.60899589999997)],[ChIJc8Zlt4AWrjsRrRLGcTlDaCQ]
[(12.9717457, 77.59614740000006)],[ChIJtVUzWXcWrjsRrjkWdidvCAw]
[(12.97149, 77.60853199999997)],[ChIJezZqpYAWrjsRpYyqYD8pnig]
[(12.960867, 77.55823299999997)],[ChIJcb3ZbQE-rjsRL69WQwYdwUw]
[(12.9678398, 77.5358913)],[ChIJ1UEV-d49rjsRV5FCA5ul8dw]
[(12.9720705, 77.59669450000001)],[ChIJYSYiS3cWrjsRfVhhipOvAIM]
[(12.9652122, 77.60284869999998)],[ChIJ7XPSx9UVrjsR5gV6H5-czds]
[(12.971009, 77.60672039999997)],[ChIJ-xH4OX4WrjsRzT2j3_hIQTc]
[(12.982683, 77.60718659999998)],[ChIJR8ITemIWrjsRd7FMfQtLFNw]
[(12.955155, 77.585466)],[ChIJaaWjpN0VrjsRAsmfiafDlN4]
[(12.979614, 77.60599460000003)],[ChIJ8YO3tWIWrjsRtGLNLrtihZY]
[(12.9619508, 77.59798350000005)],[ChIJIz5SNNcVrjsRhoB64WW_80A]
[(12.9750014, 77.60467540000002)],[ChIJ9wB3_n0WrjsR_VvP8VMxG_w]
[(12.9728733, 77.60754529999997)],[ChIJQ1p-X4cWrjsRbbLTb3CKOrQ]
[(12.973375, 77.60655829999996)],[ChIJKa3bM34WrjsR3tHSO_n5OYE]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRHsb4ElZqYx0]
[(12.9777383, 77.57710759999998)],[ChIJ____PzcSrjsR1bJVQtN_QDE]
[(12.9571721, 77.59268850000001)],[ChIJay_SF9sVrjsRc-8MZLr4O6U]
[(12.9745267, 77.60768069999995)],[ChIJxb919n0WrjsRTa_FCtxWxiY]
[(12.97993, 77.60700599999996)],[ChIJn5FRvWIWrjsRhRiNWF_Clxk]
[(12.962731, 77.59509700000001)],[ChIJaaWjpN0VrjsRgp5eAt9eXVI]
[(12.9712823, 77.60711509999999)],[ChIJM83vL34WrjsRf0vfDgirpGE]
[(12.9803524, 77.57493499999998)],[ChIJ4wA7ixAWrjsRZjjmF-CprGY]
[(12.982017, 77.61049500000001)],[ChIJmVsRU4gWrjsR8tQM452Jrh0]
[(12.9658344, 77.58545189999995)],[ChIJSXCl5d8VrjsRJRTJvbDcSvU]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRFQyb-H4nWc0]
[(12.9748475, 77.60488989999999)],[ChIJTeciNXwWrjsRjpm92GdVqlA]
[(12.9756876, 77.56023460000006)],[ChIJW5XFvQIWrjsRLi4tZ0ol2No]
[(12.9712896, 77.58030299999996)],[ChIJ0SXZ7QsWrjsRCkdIkiMArLA]
[(12.9723205, 77.60866379999993)],[ChIJ5QD7Rn4WrjsRH_yAmEEDe3c]
[(12.9736475, 77.57921680000004)],[ChIJk93Znw4WrjsRehVdcoU_HU4]
[(12.982515, 77.60762499999998)],[ChIJ_z5SeGIWrjsRPRBjsuIx-YE]
[(12.9736601, 77.59915860000001)],[ChIJAesDvHcWrjsRb7xQTQFY_QU]
[(12.9757496, 77.57856879999997)],[ChIJfzj5Dw4WrjsRst2Z8evkSB0]
[(12.968876, 77.60211900000002)],[ChIJU2aoTH8WrjsRkRnJ0O58Qgc]
[(12.9718409, 77.60087729999998)],[ChIJi1cm93sWrjsRntwUtWIbWhU]
[(12.9701259, 77.61040530000002)],[ChIJRebjyH8WrjsRxH1Zr-BjRS4]
[(12.9707757, 77.60903140000005)],[ChIJxTXgX4AWrjsR0XUH_SY8XYw]
[(12.9586059, 77.55379270000003)],[ChIJfZO25g0-rjsR7LMo-8MjdKk]
