[(12.9824411, 77.56198670000003)],[ChIJH9eb_x0WrjsRktrKzhG1ntk]
[(12.9685, 77.58977800000002)],[ChIJBfPownUWrjsRjdqF-E4i4jU]
[(12.977199, 77.608339)],[ChIJYburj4cWrjsRMdqqjZKpeFM]
[(12.960392, 77.56671400000005)],[ChIJc8ams_4VrjsR49lg2-SJm1Q]
[(12.9589909, 77.53559010000004)],[ChIJ2QzVeHQ-rjsRdtlzCWyln38]
[(12.957663, 77.56734699999993)],[ChIJCbHJfvkVrjsRX9ksqTvxYII]
[(12.972108, 77.58248800000001)],[ChIJz4yxfQsWrjsRJ9bfdRcR1nE]
[(12.958258, 77.60613000000001)],[ChIJdf1v6dIVrjsRENVXPc4zCuo]
[(12.975686, 77.60585200000003)],[ChIJ98lXpH0WrjsR-dQ1ievdzts]
[(12.976715, 77.60001499999998)],[ChIJIyI_EHsWrjsRatQYVMSXR-M]
[(12.9739893, 77.61296600000003)],[ChIJoYS1rYYWrjsRAdRsYy4VJfs]
[(12.952158, 77.59609699999999)],[ChIJdQtticUVrjsR2tMykpg64Tg]
[(12.963474, 77.60682399999996)],[ChIJjweUuNQVrjsRqNN89xk1g5I]
[(12.9640986, 77.58403969999995)],[ChIJwYtDfeAVrjsRp9Ouqgkx9CU]
[(12.9570801, 77.56281050000007)],[ChIJd0z_YvgVrjsRZ9KpDqadE3c]
[(12.959377, 77.52165100000002)],[ChIJ_8B2tX4-rjsR6s-QOziCGzM]
[(12.971953, 77.53762200000006)],[ChIJUbAilt09rjsR6c8uV4EbXOs]
[(12.9777531, 77.59838820000004)],[ChIJp3Ge2XoWrjsRcM9AJnrI0KI]
[(12.951655, 77.60795000000007)],[ChIJfZ52TTMUrjsRBM8yeeZz3X0]
[(12.974385, 77.52052000000003)],[ChIJ_5YCDdI9rjsRy84CrwvyXcA]
[(12.964394, 77.53436599999998)],[ChIJPWA0X989rjsRkc64wHKx5vg]
[(12.977448, 77.59076900000002)],[ChIJASSq93EWrjsRP84nLbLrZcQ]
[(12.9632487, 77.55897460000006)],[ChIJFaDQVwA-rjsRGc5ClTS4eBA]
[(12.9790077, 77.57175649999999)],[ChIJeXCu6xoWrjsRds1-aSdL0fg]
[(12.9791514, 77.55343169999992)],[ChIJMTF1__A9rjsRvMvB7uoKKYs]
[(12.954131, 77.55685199999994)],[ChIJoQm5UgM-rjsR8srwzZbHfnI]
[(12.9738325, 77.61122520000004)],[ChIJIw9X0oYWrjsRG8os_a8eTE8]
[(12.950606, 77.55541300000004)],[ChIJgdHCmhs-rjsRtslOSMtYAgA]
[(12.9636283, 77.57740530000001)],[ChIJhd6mTOIVrjsRYMkMjIpAHvM]
[(12.9765324, 77.58877759999996)],[ChIJzfJtQXIWrjsR7MiVsYa5aok]
[(12.9555801, 77.59572879999996)],[ChIJHQ2JUcUVrjsRosjzA7bQPYk]
[(12.963675, 77.57720399999994)],[ChIJlV76TOIVrjsREMgNIqy9WhA]
[(12.978644, 77.54907500000002)],[ChIJT2jaye89rjsRsMcj7pltbSc]
[(12.966054, 77.60691299999996)],[ChIJs32DOdUVrjsRPsdwYxMNN0g]
[(12.958572, 77.59311100000002)],[ChIJ0-60ANsVrjsRGscQeUQ6pzQ]
[(12.951162, 77.52711699999998)],[ChIJbeJDZ2U-rjsRvcUuct-cjQM]
[(12.9511991, 77.5913286)],[ChIJIeIIEsQVrjsRWsQvPVZo-6Y]
[(12.950758, 77.53735789999996)],[ChIJGSMYGW0-rjsRosMks20sg0M]
[(12.965502, 77.53043000000002)],[ChIJ23Kritg9rjsR38JKK5SfBNE]
[(12.962115, 77.53763500000002)],[ChIJtQllInU-rjsRlMIL7KXhzjA]
[(12.9757323, 77.56032849999997)],[ChIJjV9vPvg9rjsRQsJywkDwaE4]
[(12.9583901, 77.52874999999995)],[ChIJqYoxS3c-rjsRFcKfz3cH9mY]
[(12.978562, 77.57300099999998)],[ChIJKfTvoxoWrjsRj8GS-8Zvpcs]
[(12.974743, 77.54880789999993)],[ChIJrZitFeU9rjsRUcE1gSG1eY4]
[(12.954401, 77.52265999999997)],[ChIJNXGlb3s-rjsRw8ABCAGmigw]
[(12.9747356, 77.58686940000007)],[ChIJh6n7GnMWrjsRm8CBbcjd6rA]
[(12.9780223, 77.57238419999999)],[ChIJsXvGsBoWrjsRHcCU30mOvF4]
[(12.977306, 77.60801700000002)],[ChIJYdxtiYcWrjsR3r8_gJzfg3c]
[(12.9703408, 77.56619009999997)],[ChIJmYD9QQEWrjsRBb_xqZe0C3c]
[(12.9544008, 77.59265540000001)],[ChIJr2OfwsQVrjsR-r4fBvnYpeo]
[(12.9536824, 77.56761789999996)],[ChIJZ0vaTPcVrjsRzb4zMjTEhOY]
[(12.9566074, 77.57389160000002)],[ChIJZx_FNuUVrjsRvL2a57D1n7M]
[(12.9806556, 77.55836959999999)],[ChIJcysH8vY9rjsRj72KTR5eaWk]
[(12.9673059, 77.61116089999996)],[ChIJhaEueyoUrjsRhr3Deunu0zk]
[(12.9810934, 77.5355816)],[ChIJwxQE18M9rjsRUbx6FE9hI9k]
[(12.9578389, 77.55947190000006)],[ChIJsacuTgI-rjsRSLxKvWdAGEM]
[(12.9601648, 77.55632660000003)],[ChIJ1-iXUwE-rjsRRLwFshF8OSg]
[(12.9621018, 77.55974939999999)],[ChIJnYclsAE-rjsRz7tre-Om2uk]
[(12.981174, 77.548901)],[ChIJ65hxbe49rjsRkLov4gesRK8]
[(12.969805, 77.58725099999992)],[ChIJvfew_XQWrjsRaLo-KYyCiQ8]
[(12.95707, 77.56250999999997)],[ChIJf0UMffgVrjsR-LnQZDc3jas]
[(12.961665, 77.52180599999997)],[ChIJ4RnLMn8-rjsRjbhGmaLG0aw]
[(12.959068, 77.57668899999999)],[ChIJt2YxXOQVrjsRgrg4mA1-qEI]
[(12.9633297, 77.60671060000004)],[ChIJCQBBudQVrjsRgbikfGTjc3o]
[(12.976368, 77.52597800000001)],[ChIJAzWlwc89rjsRbbhwLoBgCGo]
[(12.954067, 77.54432900000006)],[ChIJ1dJu-w0-rjsRvLaTuEYsnoA]
[(12.9558833, 77.57712360000005)],[ChIJCY5PkOUVrjsRmrYxpQaDLbY]
[(12.9542117, 77.58472099999994)],[ChIJ-QdRHugVrjsRmLboKGkWkeo]
[(12.9788848, 77.55354699999998)],[ChIJhTEZ-fA9rjsR07WIJFeUf08]
[(12.9561251, 77.56743070000005)],[ChIJ-UoRi_kVrjsRu7XBwGVDjl0]
[(12.957697, 77.52869399999997)],[ChIJ0ZRct3A-rjsRmrWAzubNakI]
[(12.975584, 77.60800300000005)],[ChIJSXEuY4cWrjsR7rSMBRnEtvw]
[(12.960271, 77.55932800000005)],[ChIJLRbBgwE-rjsRz7OXiXDadZw]
[(12.97561, 77.53113699999994)],[ChIJoSaAzcQ9rjsRXbNRlQ6nIjY]
[(12.970226, 77.59439499999996)],[ChIJIzoFCXcWrjsRWrPZg1ymwhY]
[(12.9619295, 77.52171780000003)],[ChIJvwRCM38-rjsR07JsLZ_9s9U]
[(12.974601, 77.5660461)],[ChIJVcmcCwMWrjsRfLLWLoFuM6M]
[(12.9710276, 77.60113739999997)],[ChIJRYLTJHkWrjsRg7HPzmlign4]
[(12.9611406, 77.58776469999998)],[ChIJW5f7KtwVrjsRTrHleGcuheQ]
[(12.9677689, 77.59041130000003)],[ChIJY67A4nUWrjsRPLFRXr9gPuk]
[(12.982509, 77.51808000000005)],[ChIJYUZkEMs9rjsRDrHIsOknu1U]
[(12.9741122, 77.60136009999997)],[ChIJE6nF8XsWrjsRh69zU5SplGU]
[(12.95569, 77.54602999999997)],[ChIJucTWZw4-rjsRfa9vNPANow4]
[(12.9570308, 77.55046249999998)],[ChIJN0p4uwU-rjsRrK4RR42X68c]
[(12.95474, 77.57919800000002)],[ChIJoZe7rOgVrjsRgK7nyzpY2gc]
[(12.981739, 77.594787)],[ChIJsd6WDG8WrjsRdq5Mw0izwg4]
[(12.9561172, 77.56750650000004)],[ChIJl7XjivkVrjsRRK7cftuZaSE]
