[(12.9762947, 77.54730820000009)],[ChIJneMSfu89rjsRVYjPT9hfvR8]
[(12.9580525, 77.52682460000005)],[ChIJUVLTe3c-rjsRU_OljblVpN4]
[(12.9732, 77.58064999999999)],[ChIJD3e8EwwWrjsR45OjKyUGp4o]
[(12.971383, 77.60666700000002)],[ChIJRebjyH8WrjsRbIxXMeuY6Ew]
[(12.97479, 77.60936700000002)],[ChIJUX0HP4cWrjsROO2jZM2dSss]
[(12.965367, 77.60133300000007)],[ChIJh_XYbtYVrjsRj75465xkGgw]
[(12.96344, 77.57954999999993)],[ChIJ1TQkeeEVrjsR03HO3QE87Go]
[(12.9666505, 77.60891219999996)],[ChIJz1kmvyoUrjsRpamnpxzzEkI]
[(12.967, 77.59924999999998)],[ChIJ_yFsmHgWrjsR4XFUELsXJ1g]
[(12.9738112, 77.53726710000001)],[ChIJqxjXE909rjsRSQaLE3s_Bak]
[(12.9607879, 77.59417150000002)],[ChIJs8BCMNoVrjsR4Ojbost03jI]
[(12.9571897, 77.5672399)],[ChIJvQhdgfkVrjsRbJP0AAtfjBU]
[(12.9553353, 77.52819569999997)],[ChIJXepqfXA-rjsRcfTac7GjJow]
[(12.9685736, 77.53762010000003)],[ChIJ2VCLJts9rjsRYKB8LsqMEXE]
[(12.9500776, 77.57210320000002)],[ChIJLSDrbvoVrjsREUHO6jmAi3M]
[(12.9620234, 77.59431659999996)],[ChIJd3EFj9kVrjsRTzJtByQpIqE]
[(12.9666811, 77.60908300000006)],[ChIJoa4qvyoUrjsRV_dd9OTBNCM]
[(12.950213, 77.57371499999999)],[ChIJZ7sSHO4VrjsRhkRzQlzkFhg]
[(12.9730925, 77.60881930000005)],[ChIJnekssIAWrjsRKZf31QeNdFE]
[(12.9698442, 77.60673079999992)],[ChIJ_TnOxX8WrjsRt3aek_5JtJw]
[(12.9633548, 77.58897819999993)],[ChIJQwAA6dgVrjsRgAEQrLVALxU]
[(12.9577953, 77.5927173)],[ChIJWYwwBdsVrjsRdvlqcATqzyI]
[(12.9602774, 77.56333330000007)],[ChIJ8_fGSf8VrjsRjn1SjugecGM]
[(12.9675836, 77.61127599999998)],[ChIJHyYneioUrjsRQohYChWLQZk]
[(12.972144, 77.60190190000003)],[ChIJRy-CTHkWrjsRtrDqYL-kcO8]
[(12.978817, 77.54085399999997)],[ChIJ0TQhTeg9rjsRfeZ8TeIOkR8]
[(12.9646542, 77.53517929999998)],[ChIJYRaMY989rjsRXLihlENAaVU]
[(12.9806252, 77.60389809999992)],[ChIJa4a-FmMWrjsRg2S6NJ8zrL0]
[(12.9740926, 77.53042819999996)],[ChIJq_WG39o9rjsRAUSqPB6Z7yY]
[(12.95828, 77.58254)],[ChIJjfvsBucVrjsRZ5E83BUL6t0]
[(12.967233, 77.58611700000006)],[ChIJ3-4SkA4WrjsRuQ8C555Bvmo]
[(12.975065, 77.608835)],[ChIJ95WOaYcWrjsRExXwjD7125I]
[(12.9621789, 77.59258120000004)],[ChIJl8eDb9kVrjsRrz7tavycelw]
[(12.973085, 77.60695599999997)],[ChIJO0uEJYEWrjsRooLzE9YVjHc]
[(12.982197, 77.59950600000002)],[ChIJO3L6qeO45zsRUKvbqEyvOk0]
[(12.9655579, 77.53667689999997)],[ChIJS8rEmd89rjsRlxLB-AEc-jo]
[(12.955759, 77.56964590000007)],[ChIJC-RiJPEVrjsRslk2uDhZzqU]
[(12.9587104, 77.52574559999994)],[ChIJc7uQ5go-rjsRvvu-xBadHHY]
[(12.9756106, 77.60665819999997)],[ChIJLU6lP4cWrjsRp8IOPb9k5QU]
[(12.959767, 77.60270000000003)],[ChIJaXMS0NMVrjsRJcfeqqF88cY]
[(12.9579732, 77.59278369999993)],[ChIJC7paBdsVrjsRrjxjRMeUuG4]
[(12.96595, 77.60506699999996)],[ChIJw9coCtUVrjsRhvQcEhKkF18]
[(12.9801557, 77.55496149999999)],[ChIJxezXPPE9rjsRQsXp5balTk4]
[(12.9809418, 77.60597210000003)],[ChIJny0Y7mIWrjsRBfJ8CQe8yFA]
[(12.981447, 77.60914500000001)],[ChIJQ6aoMIgWrjsR_jEQeM4y-KQ]
[(12.9732384, 77.6093601)],[ChIJiUAuyoAWrjsRXr9pgPlVOdA]
[(12.9773, 77.55290000000002)],[ChIJ4aaUZPA9rjsRfRRTUFQpDMQ]
[(12.9767076, 77.5706649)],[ChIJ4bRD1gQWrjsRQfzmKYlt9-4]
[(12.9573505, 77.58620610000003)],[ChIJUfnqbN0VrjsRDJGB07RJjfY]
[(12.9552675, 77.56674049999992)],[ChIJBV1M5PkVrjsRuUVl3h1-SD8]
[(12.9804651, 77.61186129999999)],[ChIJ7xtSlIgWrjsRI-W-Xif_qPA]
[(12.964407, 77.59656569999993)],[ChIJkaxtf9cVrjsRcbVS71p7SFM]
[(12.971606, 77.59437600000001)],[ChIJ7Y5UPHcWrjsRZEz0VA6pNT4]
[(12.9733138, 77.57999810000001)],[ChIJx16OFgwWrjsRcsb_79tdtmU]
[(12.9572694, 77.5696613)],[ChIJn4tGTPoVrjsRK8CC4Jq6Y64]
[(12.9669454, 77.54460990000007)],[ChIJZbTjh-E9rjsRdwv0FHSn05E]
[(12.9750443, 77.53091519999998)],[ChIJ2RSXLts9rjsRq98Ux0WusTc]
[(12.9685762, 77.52446140000006)],[ChIJx4oH2dY9rjsR2s64QFVMFtY]
[(12.973498, 77.61335759999997)],[ChIJ1xi0VYEWrjsR6pBk9jADsTk]
[(12.9732026, 77.58303590000003)],[ChIJgXEjkQwWrjsR-5Arnh0vSes]
[(12.973314, 77.54151000000002)],[ChIJZ6P7q-c9rjsR_VpdazqPO0M]
[(12.9675961, 77.54211809999993)],[ChIJlSTsAOE9rjsRJxWwIC4bZ9I]
[(12.957088, 77.56283800000006)],[ChIJBRSdffgVrjsRwmx_EguQ8nE]
[(12.9784336, 77.56972910000002)],[ChIJj1XtPBsWrjsRB2EMXVUgN-s]
[(12.9696723, 77.60666279999998)],[ChIJPeGPxn8WrjsRpUK4XX-oliA]
[(12.96921, 77.57994000000008)],[ChIJZ86UMgoWrjsRb3zLP_9Ky-M]
