Uncaught ReferenceError: google is not defined
Navigated to file:///F:/Project%20Elective%20-%20Traffic%20Modelling/myworkarea/index.html
[(12.9669654, 77.53243499999996)],[ChIJ86Bv2Ng9rjsRee2AJHPqlIs]
[(12.9715987, 77.59456269999998)],[ChIJcVdih-IVrjsRZ-zCmdyI-d8]
[(12.954579, 77.57447980000006)],[ChIJoycA9O8VrjsRF-zvFFJ2RBA]
[(12.9671323, 77.54253040000003)],[ChIJUddIr-E9rjsRXOqvXgEAY9w]
[(12.9534464, 77.56485109999994)],[ChIJo1QPdvcVrjsRjekEDbYOvwQ]
[(12.9517238, 77.60265860000004)],[ChIJ0ceh1s4VrjsRFukmTR8oYaA]
[(12.9580652, 77.60104960000001)],[ChIJb2JnkdEVrjsRg-dT2EbwyIY]
[(12.98169, 77.55245000000002)],[ChIJNaQgj_E9rjsRieZv-0vPBQA]
[(12.969995, 77.56439799999998)],[ChIJxW2mmAEWrjsR0uPVfISiqVM]
[(12.9591082, 77.59456769999997)],[ChIJs5kFXNoVrjsRGuLPkMB8p8M]
[(12.9731293, 77.57559040000001)],[ChIJ81woIw8WrjsR4eH8u42HE9o]
[(12.969995, 77.56439799999998)],[ChIJxW2mmAEWrjsRXeAiDrZ3nAU]
[(12.96717, 77.57819399999994)],[ChIJUa797gkWrjsRLOClZA0--nQ]
[(12.9647045, 77.5306875)],[ChIJMY1phtg9rjsRTN-q4oz4AII]
[(12.9651831, 77.53236859999993)],[ChIJZY7Lu9g9rjsRHN7QJxcy2qI]
[(12.968106, 77.58443149999994)],[ChIJhxvlyQoWrjsR7Ns0igVD5k0]
[(12.9713317, 77.57641719999992)],[ChIJo4MV0g4WrjsRgdvpJz8NoUQ]
[(12.9525479, 77.53411170000004)],[ChIJKc3D8G0-rjsRRNuEbU6sjVg]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRudqcL0BolhM]
[(12.9525384, 77.56445789999998)],[ChIJ72aEpvcVrjsRMtjMNWRpzW4]
[(12.976919, 77.52876700000002)],[ChIJUVOsa8U9rjsR59YgGHMromY]
[(12.9546995, 77.56558339999992)],[ChIJq5nP2fkVrjsRFtIoj9sqSts]
[(12.953317, 77.57873300000006)],[ChIJN61aMe8VrjsR19AL4Wm2-10]
[(12.9709328, 77.53674699999999)],[ChIJX0Snz909rjsRls9Ot8lY-rk]
[(12.969477, 77.53368120000005)],[ChIJfS6jrt49rjsRgs8sSm7nlDo]
[(12.9715987, 77.59456269999998)],[ChIJE8R9PncWrjsRBs9_PvSqnug]
[(12.966359, 77.58068100000003)],[ChIJL4ez3-EVrjsRSMs7W3ZnOME]
[(12.971603, 77.529269)],[ChIJC3uZQ9o9rjsRpMdBe6_NVes]
[(12.97387, 77.5509806)],[ChIJl0K4w_o9rjsRccezdANRZUM]
[(12.962817, 77.53789400000005)],[ChIJk4bPPnU-rjsR0MJ_W5rGgUg]
[(12.9646117, 77.53156590000003)],[ChIJvZ9rmdg9rjsRfsL55C1YhUE]
[(12.9750613, 77.52898529999993)],[ChIJ2ckKyto9rjsRLL-C8SKlcEE]
[(12.9642682, 77.55121540000005)],[ChIJTTmF7wc-rjsRLb0vdCaHN6U]
[(12.972929, 77.57103800000004)],[ChIJVUAGyQUWrjsRdLvB2V1Mn5I]
[(12.9505237, 77.56481559999997)],[ChIJcbv39fYVrjsRIbs0rwOH83s]
[(12.9540058, 77.56456249999997)],[ChIJv1XHg_cVrjsRlbnqka6YdMo]
[(12.9583903, 77.60109480000006)],[ChIJexZsmtEVrjsR67gJo_VAjgw]
[(12.982008, 77.52624500000002)],[ChIJ8fEC4Mc9rjsR6bZKNzFn330]
[(12.967409, 77.57612900000004)],[ChIJp46PNAgWrjsR2LZ2z71DdxA]
[(12.965601, 77.576098)],[ChIJcWvVh-IVrjsR-LFgI_dJ7QE]
[(12.975867, 77.53306700000007)],[ChIJeUTru9A9rjsRF641uQpqDhY]
[(12.9662073, 77.57650409999997)],[ChIJHa3ZKwgWrjsR1KwGyrRVd2o]
[(12.969316, 77.57307000000003)],[ChIJ8xz8KwYWrjsRtatNq-Xq_bw]
[(12.9524904, 77.52720909999994)],[ChIJDf6DVGU-rjsRz6rdlCBrm1w]
[(12.9668913, 77.57987639999999)],[ChIJw91cDwoWrjsRkqqqaCVDEiw]
[(12.9590605, 77.56063340000003)],[ChIJ81mwFwI-rjsRzaiRnfFbQkA]
